Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Travis Outlaw,1984-09-18,0,2009-10,25,POR,NBA,SF,11,231,.376,15.6,.693,.198,.079,.158,.257,.307,.371,.400,.250,.375,.385,.387,.500,1.000,.050,4,.387,.500,2,0
Travis Outlaw,1984-09-18,0,2009-10,25,LAC,NBA,SF,23,499,.400,17.2,.589,.144,.083,.094,.267,.411,.415,.577,.467,.471,.292,.378,.409,.786,.061,9,.365,.444,0,0
Kelly Oubre Jr.,1995-12-09,0,2016-17,21,WAS,NBA,SF,79,1605,.421,14.0,.575,.330,.095,.068,.084,.425,.520,.623,.333,.400,.405,.287,.545,.981,.106,41,.431,.185,1,0
Kelly Oubre Jr.,1995-12-09,0,2017-18,22,WAS,NBA,SF,81,2231,.403,14.9,.533,.242,.148,.063,.080,.467,.456,.644,.333,.260,.270,.341,.531,.921,.067,46,.271,.290,1,0
Arinze Onuaku,1987-07-13,0,2013-14,26,TOT,NBA,PF,5,30,.200,2.0,1.000,.800,.200,.000,.000,.000,.200,.250,.000,,,,.000,,.000,0,,,0,0
Chinanu Onuaku,1996-11-01,0,2017-18,21,HOU,NBA,C,1,22,.400,7.0,1.000,.200,.600,.000,.200,.000,.400,1.000,.333,,.000,,.500,,.200,1,,,0,0
Chinanu Onuaku,1996-11-01,1,2017-18,21,HOU,NBA,C,1,3,,,,,,,,,,,,,,,,,,0,,,0,0
Julian Washburn,1991-12-18,0,2018-19,27,MEM,NBA,SF,18,254,.333,18.6,.500,.104,.083,.125,.188,.500,.458,.800,.250,.500,.333,.208,.545,1.000,.021,1,.458,.273,1,0
Roger Mason,1980-09-10,0,2012-13,32,NOH,NBA,SG,69,1219,.433,19.3,.479,.128,.043,.049,.259,.521,.452,.513,.077,.267,.519,.415,.727,.955,.000,0,.302,.354,0,0
Roger Mason,1980-09-10,0,2013-14,33,MIA,NBA,SG,25,260,.373,22.2,.284,.060,.000,.000,.224,.716,.421,.000,,,.533,.354,.625,.882,.000,0,.438,.381,0,0
Wesley Matthews,1986-10-14,0,2012-13,26,POR,NBA,SG,69,2403,.436,16.7,.474,.225,.075,.063,.110,.526,.478,.599,.361,.392,.360,.398,.470,.888,.020,13,.355,.437,1,0
Wesley Matthews,1986-10-14,0,2013-14,27,POR,NBA,SG,82,2780,.441,16.7,.494,.188,.106,.092,.108,.506,.490,.637,.393,.398,.404,.393,.549,.940,.019,17,.344,.403,1,0
Larry Owens,1983-01-08,0,2011-12,29,NJN,NBA,SF,7,75,.364,18.1,.545,.182,.000,.091,.273,.455,.333,.500,,.000,.333,.400,1.000,1.000,.000,0,.400,.500,0,0
Willie Warren,1989-10-22,0,2010-11,21,LAC,NBA,PG,19,134,.371,15.5,.571,.086,.343,.086,.057,.429,.400,.333,.333,.667,.500,.333,.250,.600,.000,0,.133,.500,0,0
Jameel Warney,1994-01-31,0,2017-18,24,DAL,NBA,PF,3,27,.583,5.6,1.000,.500,.250,.250,.000,.000,.583,.833,.333,.333,,,.429,,.000,0,,,0,0
Hakim Warrick,1982-07-08,0,2009-10,27,TOT,NBA,PF,76,1557,.482,8.2,.987,.451,.102,.167,.267,.013,.486,.617,.393,.370,.374,.143,.621,1.000,.169,88,.286,.500,0,0
Casper Ware,1990-01-17,0,2013-14,24,PHI,NBA,PG,9,116,.429,16.3,.500,.143,.190,.048,.119,.500,.524,1.000,.500,.000,.200,.333,.455,.714,.000,0,.143,1.000,1,1
Cedi Osman,1995-04-08,0,2020-21,25,CLE,NBA,SF,59,1510,.374,16.3,.447,.234,.147,.051,.015,.553,.458,.569,.314,.400,.333,.306,.617,.859,.012,7,.191,.323,0,0
Cedi Osman,1995-04-08,1,2017-18,22,CLE,NBA,SF,14,62,.333,15.6,.611,.278,.000,.111,.222,.389,.455,.800,,.000,.250,.143,.600,1.000,.000,0,.429,.333,0,0
Daniel Orton,1990-08-06,1,2011-12,21,ORL,NBA,PF,4,9,,,,,,,,,,,,,,,,,,0,,,0,0
Travis Outlaw,1984-09-18,0,2010-11,26,NJN,NBA,SF,82,2358,.375,16.9,.655,.114,.112,.145,.285,.345,.413,.627,.329,.368,.385,.302,.505,.934,.034,21,.401,.327,4,0
Travis Outlaw,1984-09-18,0,2011-12,27,SAC,NBA,SF,39,500,.343,16.2,.657,.160,.126,.086,.286,.343,.383,.750,.455,.133,.220,.267,.545,1.000,.086,11,.267,.188,0,0
Kelly Oubre Jr.,1995-12-09,0,2018-19,23,TOT,NBA,SF,69,1935,.445,13.1,.599,.325,.185,.053,.034,.401,.530,.639,.353,.489,.517,.320,.558,.870,.099,70,.225,.316,1,0
Kelly Oubre Jr.,1995-12-09,0,2018-19,23,WAS,NBA,SF,29,755,.433,13.7,.567,.298,.200,.039,.030,.433,.526,.626,.393,.417,.556,.311,.659,.951,.105,29,.220,.276,0,0
Arinze Onuaku,1987-07-13,0,2013-14,26,NOP,NBA,PF,3,25,.250,1.7,1.000,1.000,.000,.000,.000,.000,.250,.250,,,,,.000,,.000,0,,,0,0
Arinze Onuaku,1987-07-13,0,2013-14,26,CLE,NBA,PF,2,5,.000,3.5,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0
Arinze Onuaku,1987-07-13,0,2014-15,27,MIN,NBA,C,6,68,.857,2.0,1.000,.643,.357,.000,.000,.000,.857,.889,.800,,,,.750,,.286,4,,,0,0
Roger Mason,1980-09-10,1,2009-10,29,SAS,NBA,SG,6,61,.083,21.3,.417,.083,.000,.000,.333,.583,.000,.000,,,.000,.143,,1.000,.000,0,.286,.000,0,0
Roger Mason,1980-09-10,1,2010-11,30,NYK,NBA,SG,3,55,.389,21.5,.278,.056,.000,.056,.167,.722,.400,.000,,1.000,.333,.385,.500,.600,.000,0,.462,.333,0,0
Wesley Matthews,1986-10-14,0,2014-15,28,POR,NBA,SG,60,2024,.448,17.6,.408,.146,.105,.070,.086,.592,.534,.600,.570,.453,.446,.389,.451,.873,.013,10,.290,.403,0,0
Wesley Matthews,1986-10-14,0,2015-16,29,DAL,NBA,SF,78,2644,.388,18.5,.385,.105,.093,.081,.107,.615,.432,.500,.342,.406,.462,.360,.415,.884,.002,2,.288,.424,0,0
Hakim Warrick,1982-07-08,0,2009-10,27,MIL,NBA,PF,48,1024,.481,8.5,.984,.442,.103,.161,.278,.016,.487,.617,.410,.344,.390,.167,.624,1.000,.164,59,.333,.500,0,0
Hakim Warrick,1982-07-08,0,2009-10,27,CHI,NBA,PF,28,533,.483,7.8,.994,.471,.099,.180,.244,.006,.485,.617,.353,.419,.333,.000,.614,,.180,29,.000,,0,0
Travis Outlaw,1984-09-18,0,2012-13,28,SAC,NBA,SF,38,444,.418,16.3,.718,.175,.085,.102,.356,.282,.472,.742,.400,.444,.365,.280,.550,.857,.079,14,.340,.294,1,0
Travis Outlaw,1984-09-18,0,2013-14,29,SAC,NBA,SF,63,1065,.399,17.3,.641,.098,.113,.153,.276,.359,.426,.625,.432,.360,.389,.350,.494,.927,.034,10,.256,.367,0,0
Kelly Oubre Jr.,1995-12-09,0,2018-19,23,PHO,NBA,SF,40,1180,.453,12.7,.616,.341,.177,.061,.037,.384,.532,.645,.326,.515,.500,.325,.506,.821,.095,41,.228,.340,1,0
Kelly Oubre Jr.,1995-12-09,0,2019-20,24,PHO,NBA,SF,56,1933,.452,12.7,.628,.334,.166,.082,.046,.372,.511,.587,.387,.426,.553,.352,.574,.954,.103,71,.283,.333,1,0
T.J. Warren,1993-09-05,0,2014-15,21,PHO,NBA,SF,40,614,.528,7.5,.902,.444,.252,.117,.089,.098,.560,.705,.481,.320,.368,.238,.620,1.000,.051,11,.333,.143,1,0
Arinze Onuaku,1987-07-13,0,2016-17,29,ORL,NBA,C,8,28,.500,8.0,1.000,.000,.750,.250,.000,.000,.500,,.667,.000,,,1.000,,.000,0,,,0,0
Wesley Matthews,1986-10-14,0,2016-17,30,DAL,NBA,SG,73,2495,.393,18.7,.434,.113,.091,.112,.119,.566,.432,.552,.377,.432,.356,.363,.296,.839,.001,1,.177,.435,2,0
Wesley Matthews,1986-10-14,0,2017-18,31,DAL,NBA,SF,63,2131,.406,18.4,.423,.096,.118,.106,.103,.577,.441,.507,.439,.459,.361,.381,.392,.882,.000,0,.209,.464,1,0
Hakim Warrick,1982-07-08,0,2010-11,28,PHO,NBA,PF,80,1416,.511,7.9,.975,.406,.260,.076,.233,.025,.522,.779,.310,.382,.356,.091,.714,.000,.204,84,.273,.000,0,0
Hakim Warrick,1982-07-08,0,2011-12,29,PHO,NBA,PF,35,503,.411,10.0,.944,.311,.256,.111,.267,.056,.429,.714,.283,.250,.313,.100,.534,1.000,.128,19,.300,.333,1,0
Kelly Oubre Jr.,1995-12-09,0,2020-21,25,GSW,NBA,SF,55,1687,.439,13.2,.606,.267,.238,.062,.040,.394,.519,.720,.355,.422,.310,.316,.675,.944,.133,84,.354,.386,0,0
Kelly Oubre Jr.,1995-12-09,1,2016-17,21,WAS,NBA,SF,12,184,.426,14.2,.508,.344,.066,.066,.033,.492,.484,.524,.250,.500,.500,.367,.800,1.000,.148,8,.400,.417,0,0
T.J. Warren,1993-09-05,0,2015-16,22,PHO,NBA,SF,47,1070,.501,10.8,.841,.274,.202,.204,.161,.159,.520,.678,.438,.489,.394,.400,.653,.929,.043,19,.543,.447,2,0
T.J. Warren,1993-09-05,0,2016-17,23,PHO,NBA,SF,66,2048,.495,10.7,.880,.290,.221,.200,.167,.120,.527,.746,.456,.399,.397,.265,.536,.923,.032,23,.520,.255,3,0
Wesley Matthews,1986-10-14,0,2018-19,32,TOT,NBA,"SF,SG",69,2091,.400,18.3,.423,.125,.138,.112,.049,.577,.437,.609,.365,.372,.353,.372,.558,.920,.000,0,.206,.422,2,0
Wesley Matthews,1986-10-14,0,2018-19,32,DAL,NBA,SF,44,1312,.414,17.8,.439,.124,.166,.113,.036,.561,.456,.638,.385,.434,.235,.380,.500,.920,.000,0,.183,.458,2,0
Hakim Warrick,1982-07-08,0,2012-13,30,TOT,NBA,PF,28,489,.406,10.4,.982,.315,.152,.212,.303,.018,.414,.519,.320,.429,.340,.000,.672,,.103,15,.333,.000,0,0
Hakim Warrick,1982-07-08,0,2012-13,30,NOH,NBA,PF,1,7,.500,9.8,1.000,.000,.500,.500,.000,.000,.500,,1.000,.000,,,1.000,,.000,0,,,0,0
Kelly Oubre Jr.,1995-12-09,1,2017-18,22,WAS,NBA,SF,6,148,.375,13.6,.604,.271,.146,.104,.083,.396,.483,.692,.286,.400,.250,.211,.786,.750,.146,7,.158,.333,0,0
T.J. Warren,1993-09-05,0,2017-18,24,PHO,NBA,SF,65,2142,.498,8.8,.915,.378,.182,.188,.167,.085,.523,.682,.415,.425,.393,.222,.617,1.000,.041,44,.411,.216,0,0
T.J. Warren,1993-09-05,0,2018-19,25,PHO,NBA,SF,43,1360,.486,12.1,.705,.300,.203,.146,.057,.295,.510,.672,.395,.438,.257,.428,.550,.896,.033,19,.300,.481,0,0
Wesley Matthews,1986-10-14,0,2018-19,32,NYK,NBA,SG,2,54,.211,19.2,.474,.053,.053,.263,.105,.526,.222,.000,1.000,.200,.000,.200,.000,1.000,.000,0,.300,.000,0,0
Wesley Matthews,1986-10-14,0,2018-19,32,IND,NBA,SG,23,725,.386,19.2,.381,.133,.081,.095,.071,.619,.413,.571,.235,.250,.533,.369,.758,.917,.000,0,.246,.406,0,0
Hakim Warrick,1982-07-08,0,2012-13,30,CHA,NBA,PF,27,482,.405,10.4,.982,.319,.147,.209,.307,.018,.413,.519,.292,.441,.340,.000,.667,,.104,15,.333,.000,0,0
Hakim Warrick,1982-07-08,1,2009-10,27,CHI,NBA,PF,3,31,.182,12.4,.909,.273,.000,.182,.455,.091,.200,.000,,.500,.200,.000,.500,,.000,0,.000,,0,0
T.J. Warren,1993-09-05,0,2019-20,26,IND,NBA,SF,67,2202,.536,12.0,.773,.275,.171,.216,.112,.227,.575,.759,.465,.488,.455,.403,.609,.901,.037,37,.412,.419,0,0
T.J. Warren,1993-09-05,0,2020-21,27,IND,NBA,SF,4,117,.529,10.7,.863,.333,.137,.196,.196,.137,.614,.824,.714,.300,.500,.000,.593,,.039,2,.429,.000,0,0
Wesley Matthews,1986-10-14,0,2019-20,33,MIL,NBA,SG,67,1635,.396,19.9,.296,.130,.081,.052,.033,.704,.472,.691,.235,.409,.286,.364,.610,.935,.005,2,.276,.415,0,0
Wesley Matthews,1986-10-14,0,2020-21,34,LAL,NBA,SG,58,1130,.353,21.2,.218,.099,.056,.028,.036,.782,.418,.680,.214,.286,.111,.335,.609,.970,.000,0,.289,.263,0,0
T.J. Warren,1993-09-05,1,2019-20,26,IND,NBA,SF,4,156,.471,14.3,.721,.147,.235,.221,.118,.279,.510,.700,.625,.400,.250,.368,.600,.857,.000,0,.158,.333,0,0
Wesley Matthews,1986-10-14,1,2009-10,23,UTA,NBA,SG,10,371,.386,12.8,.584,.376,.099,.030,.079,.416,.407,.526,.300,.000,.125,.357,.542,.933,.069,6,.357,.467,0,0
Wesley Matthews,1986-10-14,1,2010-11,24,POR,NBA,SG,6,202,.474,13.3,.632,.263,.211,.053,.105,.368,.528,.733,.417,.000,.500,.381,.632,1.000,.018,1,.429,.556,0,0
Wesley Matthews,1986-10-14,1,2013-14,27,POR,NBA,SG,11,426,.412,16.2,.500,.184,.154,.074,.088,.500,.500,.680,.238,.500,.583,.324,.382,.955,.015,2,.221,.200,0,0
Wesley Matthews,1986-10-14,1,2015-16,29,DAL,NBA,SF,5,173,.333,18.7,.417,.117,.067,.100,.133,.583,.400,.286,.500,.500,.375,.286,.300,1.000,.000,0,.314,.364,0,0
Tyrone Wallace,1994-06-10,0,2017-18,23,LAC,NBA,PG,30,851,.445,8.2,.838,.352,.312,.154,.020,.162,.483,.667,.364,.316,.400,.250,.580,1.000,.016,4,.550,.364,1,0
Didi Louzada,1999-02-07,0,2020-21,21,NOP,NBA,SF,3,56,.231,17.6,.385,.154,.154,.077,.000,.615,.200,.500,.000,.000,,.250,.000,1.000,.000,0,.375,.333,0,0
Derrick Walton,1995-04-03,0,2017-18,22,MIA,NBA,PG,16,147,.320,24.0,.320,.000,.000,.040,.280,.680,.125,,,.000,.143,.412,.000,.714,.000,0,.176,.667,1,0
Wesley Matthews,1986-10-14,1,2018-19,32,IND,NBA,SG,4,119,.300,20.0,.300,.200,.000,.033,.067,.700,.222,.333,,.000,.000,.333,.500,1.000,.000,0,.190,.750,0,0
Wesley Matthews,1986-10-14,1,2019-20,33,MIL,NBA,SG,10,246,.421,20.9,.246,.105,.088,.035,.018,.754,.500,.500,.600,.500,.000,.395,.429,.941,.000,0,.349,.467,1,0
Tyrone Wallace,1994-06-10,0,2018-19,24,LAC,NBA,PG,62,628,.424,7.4,.912,.313,.433,.134,.032,.088,.444,.544,.362,.483,.429,.211,.545,1.000,.023,5,.421,.375,0,0
Tyrone Wallace,1994-06-10,0,2019-20,25,ATL,NBA,SG,14,160,.318,11.9,.659,.432,.136,.068,.023,.341,.448,.579,.167,.333,.000,.067,.615,.000,.023,1,.267,.000,1,0
Brad Wanamaker,1989-07-25,0,2018-19,29,BOS,NBA,PG,36,343,.476,15.2,.629,.190,.190,.076,.171,.371,.515,.800,.400,.375,.389,.410,.412,.750,.000,0,.026,.000,0,0
Luke Walton,1980-03-28,0,2009-10,29,LAL,NBA,SF,29,272,.357,12.6,.798,.179,.238,.226,.155,.202,.343,.400,.350,.316,.308,.412,.391,.857,.000,0,.471,.500,0,0
Rasheed Wallace,1974-09-17,0,2009-10,35,BOS,NBA,C,79,1780,.409,16.3,.554,.148,.162,.163,.082,.446,.511,.583,.505,.500,.415,.283,.527,.988,.031,15,.117,.294,3,0
Gerald Wallace,1982-07-23,0,2009-10,27,CHA,NBA,SF,76,3119,.484,7.9,.852,.572,.077,.025,.177,.148,.503,.590,.356,.292,.317,.371,.567,.981,.074,57,.664,.398,0,0
Ben Wallace,1974-09-10,0,2009-10,35,DET,NBA,C,69,1975,.541,2.1,.993,.812,.110,.034,.038,.007,.545,.608,.281,.100,.364,.000,.595,,.202,50,.000,,0,0
Kevon Looney,1996-02-06,0,2015-16,19,GSW,NBA,PF,5,21,.571,12.1,.714,.286,.143,.286,.000,.286,.600,1.000,.000,.500,,.500,.333,1.000,.143,1,.000,,0,0
Derrick Walton,1995-04-03,0,2019-20,24,TOT,NBA,PG,26,248,.462,20.5,.385,.077,.000,.154,.154,.615,.533,.667,,.500,.500,.417,.250,.900,.000,0,.250,.167,0,0
Derrick Walton,1995-04-03,0,2019-20,24,LAC,NBA,PG,23,222,.472,20.1,.417,.083,.000,.167,.167,.583,.533,.667,,.500,.500,.429,.250,1.000,.000,0,.238,.200,0,0
Wesley Matthews,1986-10-14,1,2020-21,34,LAL,NBA,SG,6,110,.303,19.9,.242,.152,.030,.061,.000,.758,.375,.600,.000,.000,,.280,.667,1.000,.000,0,.480,.250,0,0
Tyrone Wallace,1994-06-10,1,2018-19,24,LAC,NBA,PG,2,11,.250,8.4,1.000,.250,.250,.500,.000,.000,.250,1.000,.000,.000,,,.000,,.000,0,,,0,0
Brad Wanamaker,1989-07-25,0,2019-20,30,BOS,NBA,PG,71,1369,.448,12.3,.718,.296,.235,.083,.105,.282,.481,.692,.271,.433,.395,.363,.432,.892,.011,4,.049,.800,0,0
Brad Wanamaker,1989-07-25,0,2020-21,31,TOT,NBA,PG,61,1053,.385,12.2,.716,.311,.227,.064,.114,.284,.463,.602,.338,.316,.412,.188,.545,.688,.017,5,.047,.000,0,0
Luke Walton,1980-03-28,0,2010-11,30,LAL,NBA,SF,54,484,.328,16.8,.707,.103,.147,.138,.319,.293,.366,.500,.294,.438,.324,.235,.700,1.000,.000,0,.529,.333,1,0
Luke Walton,1980-03-28,0,2011-12,31,TOT,NBA,"PF,SF",30,364,.369,18.5,.692,.062,.046,.123,.462,.308,.378,.500,.667,.375,.333,.350,.706,1.000,.000,0,.550,.364,0,0
Rasheed Wallace,1974-09-17,0,2012-13,38,NYK,NBA,C,21,296,.387,16.9,.514,.197,.134,.106,.077,.486,.452,.571,.421,.400,.273,.319,.545,.955,.028,3,.072,.200,1,0
Rasheed Wallace,1974-09-17,1,2009-10,35,BOS,NBA,C,24,410,.416,16.7,.560,.112,.168,.152,.128,.440,.471,.643,.476,.263,.563,.345,.758,1.000,.040,5,.200,.545,0,0
Gerald Wallace,1982-07-23,0,2010-11,28,TOT,NBA,"PF,SF",71,2693,.454,11.3,.781,.408,.122,.020,.231,.219,.487,.608,.327,.353,.371,.333,.568,.968,.042,30,.376,.257,1,0
Gerald Wallace,1982-07-23,0,2010-11,28,CHA,NBA,SF,48,1872,.433,11.2,.818,.404,.122,.017,.275,.182,.456,.574,.282,.300,.369,.330,.604,.971,.045,20,.500,.264,1,0
Ben Wallace,1974-09-10,0,2010-11,36,DET,NBA,C,54,1238,.450,3.0,.987,.765,.148,.060,.013,.013,.449,.518,.182,.333,.000,.500,.500,1.000,.101,10,.000,,1,0
Ben Wallace,1974-09-10,0,2011-12,37,DET,NBA,C,62,980,.395,5.9,.953,.558,.209,.116,.070,.047,.402,.479,.278,.300,.333,.250,.545,1.000,.058,3,.250,1.000,0,0
Kevon Looney,1996-02-06,0,2016-17,20,GSW,NBA,C,53,447,.523,5.1,.916,.701,.121,.037,.056,.084,.551,.680,.231,.000,.000,.222,.833,1.000,.290,28,.000,,0,0
Kevon Looney,1996-02-06,0,2017-18,21,GSW,NBA,C,66,910,.580,4.8,.974,.627,.202,.073,.067,.026,.590,.744,.205,.643,.308,.200,.685,1.000,.218,39,.000,,2,0
Kevon Looney,1996-02-06,0,2018-19,22,GSW,NBA,C,80,1481,.625,4.7,.971,.709,.133,.035,.095,.029,.641,.724,.304,.583,.515,.100,.704,1.000,.314,105,.400,.000,1,0
Shawn Long,1993-01-29,0,2016-17,24,PHI,NBA,C,18,234,.560,7.2,.826,.642,.073,.028,.073,.174,.600,.686,.375,.000,.375,.368,.500,1.000,.128,14,.053,.000,0,0
Derrick Walton,1995-04-03,0,2019-20,24,DET,NBA,PG,3,26,.333,24.8,.000,.000,.000,.000,.000,1.000,,,,,,.333,,.000,.000,0,.333,.000,0,0
Robin Lopez,1988-04-01,0,2009-10,21,PHO,NBA,C,51,986,.588,3.9,1.000,.591,.271,.113,.024,.000,.588,.692,.481,.303,.571,,.620,,.216,56,,,0,0
Zach Lofton,1992-11-18,0,2018-19,26,DET,NBA,SG,1,4,.000,25.8,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0
Brook Lopez,1988-04-01,0,2009-10,21,NJN,NBA,C,82,3027,.499,6.6,.998,.476,.220,.124,.179,.002,.500,.611,.468,.371,.332,.000,.568,,.125,126,.000,,0,0
Nassir Little,2000-02-11,0,2019-20,19,POR,NBA,PF,48,573,.430,11.6,.609,.397,.166,.033,.013,.391,.554,.667,.400,.200,.000,.237,.686,1.000,.139,18,.407,.167,0,0
Brad Wanamaker,1989-07-25,0,2020-21,31,GSW,NBA,PG,39,625,.353,14.0,.647,.231,.249,.052,.116,.353,.429,.600,.302,.222,.450,.213,.542,.692,.017,3,.049,.000,0,0
Brad Wanamaker,1989-07-25,0,2020-21,31,CHO,NBA,PG,22,428,.429,9.9,.810,.421,.198,.079,.111,.190,.500,.604,.400,.400,.357,.125,.549,.667,.016,2,.042,.000,0,0
Brad Wanamaker,1989-07-25,1,2018-19,29,BOS,NBA,PG,4,17,.429,15.0,.857,.143,.143,.143,.429,.143,.333,1.000,.000,.000,.333,1.000,.000,1.000,.000,0,.000,,0,0
Shaun Livingston,1985-09-11,0,2009-10,24,TOT,NBA,PG,36,796,.517,11.7,.970,.204,.144,.328,.294,.030,.533,.683,.517,.485,.492,.000,.433,,.035,7,.333,.000,1,0
Luke Walton,1980-03-28,0,2011-12,31,LAL,NBA,SF,9,65,.429,18.2,.714,.071,.071,.071,.500,.286,.600,1.000,1.000,1.000,.429,.000,.500,,.000,0,.500,.000,0,0
Luke Walton,1980-03-28,0,2011-12,31,CLE,NBA,PF,21,299,.353,18.5,.686,.059,.039,.137,.451,.314,.314,.333,.500,.286,.304,.438,.818,1.000,.000,0,.563,.444,0,0
Luke Walton,1980-03-28,0,2012-13,32,CLE,NBA,PF,50,857,.392,16.4,.630,.133,.166,.077,.254,.370,.447,.625,.400,.143,.478,.299,.824,1.000,.006,1,.209,.071,0,0
Gerald Wallace,1982-07-23,0,2010-11,28,POR,NBA,PF,23,821,.498,11.5,.703,.416,.123,.026,.138,.297,.566,.679,.424,.429,.378,.338,.495,.963,.037,10,.213,.235,0,0
Gerald Wallace,1982-07-23,0,2011-12,29,TOT,NBA,SF,58,2076,.454,10.0,.763,.494,.108,.028,.133,.237,.500,.590,.279,.444,.357,.307,.568,.935,.027,15,.433,.354,0,0
Kevon Looney,1996-02-06,0,2019-20,23,GSW,NBA,C,20,262,.367,9.8,.823,.380,.253,.063,.127,.177,.431,.700,.200,.400,.100,.071,.500,1.000,.051,4,.429,.167,1,0
Kevon Looney,1996-02-06,0,2020-21,24,GSW,NBA,C,61,1161,.548,6.3,.914,.548,.223,.086,.056,.086,.578,.722,.364,.353,.364,.235,.635,1.000,.137,26,.353,.167,0,0
Robin Lopez,1988-04-01,0,2010-11,22,PHO,NBA,C,67,991,.501,6.3,1.000,.412,.336,.162,.090,.000,.501,.680,.325,.448,.438,,.726,,.092,29,,,0,0
Robin Lopez,1988-04-01,0,2011-12,23,PHO,NBA,C,64,895,.461,6.3,1.000,.413,.349,.138,.100,.000,.461,.631,.383,.216,.370,,.516,,.086,23,,,0,0
Brook Lopez,1988-04-01,0,2010-11,22,NJN,NBA,C,82,2889,.492,8.4,.999,.242,.437,.150,.170,.001,.492,.625,.495,.398,.381,.000,.637,,.072,87,.000,,0,0
Brook Lopez,1988-04-01,0,2011-12,23,NJN,NBA,C,5,136,.494,7.5,1.000,.260,.468,.117,.156,.000,.494,.550,.528,.556,.250,,.553,,.039,2,,,0,0
Brook Lopez,1988-04-01,0,2012-13,24,BRK,NBA,C,74,2253,.521,7.4,.999,.376,.329,.131,.164,.001,.522,.698,.422,.427,.391,.000,.625,,.091,97,1.000,.000,0,0
Nassir Little,2000-02-11,0,2020-21,20,POR,NBA,PF,48,640,.467,15.6,.521,.269,.114,.054,.084,.479,.575,.689,.526,.444,.357,.350,.560,.821,.090,13,.163,.385,0,0
Nassir Little,2000-02-11,1,2020-21,20,POR,NBA,PF,3,9,.250,25.5,.000,.000,.000,.000,.000,1.000,,,,,,.250,,.000,.000,0,.000,,0,0
Brad Wanamaker,1989-07-25,1,2019-20,30,BOS,NBA,PG,17,273,.483,15.3,.550,.183,.217,.100,.050,.450,.515,.818,.462,.333,.000,.444,.588,.667,.000,0,.148,.250,0,0
Shaun Livingston,1985-09-11,0,2009-10,24,OKC,NBA,PG,10,130,.313,11.1,.875,.250,.125,.313,.188,.125,.357,.250,.500,.600,.000,.000,.600,,.000,0,1.000,.000,0,0
Shaun Livingston,1985-09-11,0,2009-10,24,WAS,NBA,PG,26,666,.535,11.8,.978,.200,.146,.330,.303,.022,.547,.730,.519,.475,.518,.000,.424,,.038,7,.000,,1,0
Shaun Livingston,1985-09-11,0,2010-11,25,CHA,NBA,PG,73,1261,.466,9.9,.990,.249,.222,.340,.179,.010,.468,.616,.443,.437,.352,.250,.293,1.000,.060,19,.500,.500,1,0
Luke Walton,1980-03-28,1,2009-10,29,LAL,NBA,SF,16,96,.304,18.3,.609,.087,.043,.261,.217,.391,.357,.000,.000,.500,.400,.222,.400,1.000,.000,0,.778,.286,1,0
Luke Walton,1980-03-28,1,2010-11,30,LAL,NBA,SF,1,4,.000,23.5,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.500,.000,0,0
Gerald Wallace,1982-07-23,0,2011-12,29,POR,NBA,SF,42,1503,.472,9.4,.772,.523,.114,.014,.121,.228,.533,.627,.245,.333,.423,.265,.599,.962,.026,11,.449,.341,0,0
Gerald Wallace,1982-07-23,0,2011-12,29,NJN,NBA,SF,16,573,.416,11.3,.743,.431,.094,.059,.158,.257,.427,.494,.368,.500,.250,.385,.484,.900,.030,4,.404,.381,0,0
Kevon Looney,1996-02-06,1,2017-18,21,GSW,NBA,C,21,387,.542,3.4,.972,.792,.069,.056,.069,.028,.557,.614,.000,.500,.400,.000,.692,,.181,13,.500,.000,0,0
Kevon Looney,1996-02-06,1,2018-19,22,GSW,NBA,C,21,432,.688,4.4,1.000,.667,.183,.054,.097,.000,.688,.758,.706,.200,.444,,.813,,.258,23,,,0,0
Ángel Delgado,1994-11-20,0,2018-19,24,LAC,NBA,C,2,15,.200,1.9,1.000,.800,.200,.000,.000,.000,.200,.250,.000,,,,1.000,,.000,0,,,0,0
Jeremy Lin,1988-08-23,0,2010-11,22,GSW,NBA,PG,29,285,.389,8.5,.931,.417,.264,.056,.194,.069,.403,.533,.316,.250,.286,.200,.407,.000,.000,0,.200,.000,0,0
Robin Lopez,1988-04-01,0,2012-13,24,NOH,NBA,C,82,2136,.534,5.6,1.000,.477,.314,.150,.058,.000,.534,.691,.372,.370,.548,,.589,,.102,64,,,0,0
Robin Lopez,1988-04-01,0,2013-14,25,POR,NBA,C,82,2603,.551,4.8,.998,.573,.264,.101,.061,.002,.552,.664,.406,.385,.410,.000,.634,,.116,75,.000,,1,0
