Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Jeff Ayres,1987-04-29,0,2012-13,25,IND,NBA,PF,37,369,.484,12.0,.968,.254,.143,.135,.437,.032,.484,.594,.444,.706,.364,.500,.797,1.000,.103,10,.500,.500,0,0
Jeff Ayres,1987-04-29,0,2013-14,26,SAS,NBA,PF,73,952,.580,4.8,1.000,.644,.167,.109,.080,.000,.580,.714,.345,.421,.214,,.792,,.224,36,,,0,0
Ömer Aşık,1986-07-04,0,2011-12,25,CHI,NBA,C,66,971,.506,2.4,1.000,.788,.186,.013,.013,.000,.506,.545,.379,.500,.000,,.696,,.199,27,,,0,0
Ömer Aşık,1986-07-04,0,2012-13,26,HOU,NBA,C,82,2464,.541,2.5,.998,.788,.184,.013,.013,.002,.542,.607,.274,.375,.500,.000,.696,,.217,127,1.000,.000,0,0
Darrell Arthur,1988-03-25,0,2010-11,22,MEM,NBA,PF,80,1609,.497,10.7,.990,.292,.196,.125,.378,.010,.502,.687,.434,.474,.403,.000,.742,,.085,49,.333,.000,0,0
Darrell Arthur,1988-03-25,0,2012-13,24,MEM,NBA,PF,59,970,.451,11.9,.950,.245,.153,.187,.365,.050,.460,.545,.345,.418,.473,.278,.828,1.000,.084,24,.444,.250,0,0
Gustavo Ayón,1985-04-01,1,2012-13,27,MIL,NBA,C,3,7,.500,9.7,1.000,.500,.000,.000,.500,.000,.500,.500,,,.500,,1.000,,.000,0,,,0,0
Carlos Arroyo,1979-07-30,0,2010-11,31,TOT,NBA,PG,64,1185,.440,18.4,.747,.051,.044,.103,.549,.253,.436,.500,.417,.393,.440,.449,.629,.935,.000,0,.768,.491,0,0
Carlos Arroyo,1979-07-30,0,2010-11,31,MIA,NBA,PG,49,995,.458,18.7,.731,.042,.046,.092,.550,.269,.466,.500,.455,.409,.473,.438,.642,.964,.000,0,.797,.490,0,0
Hilton Armstrong,1984-11-11,0,2009-10,25,NOH,NBA,PF,18,239,.380,6.3,1.000,.500,.220,.120,.160,.000,.380,.560,.364,.000,.125,,.842,,.180,7,,,0,0
Hilton Armstrong,1984-11-11,0,2009-10,25,SAC,NBA,C,6,56,.333,5.3,1.000,.500,.250,.167,.083,.000,.333,.500,.333,.000,.000,,.500,,.250,2,,,0,0
Trevor Ariza,1985-06-30,0,2009-10,24,HOU,NBA,SF,72,2629,.394,14.3,.593,.329,.055,.062,.146,.407,.436,.571,.218,.194,.315,.334,.457,.846,.074,68,.216,.375,2,0
Gilbert Arenas,1982-01-06,0,2009-10,28,WAS,NBA,PG,32,1169,.411,15.6,.706,.203,.110,.093,.300,.294,.437,.528,.353,.421,.411,.348,.163,.508,.003,1,.066,.250,1,0
Chandler Parsons,1988-10-25,0,2011-12,23,HOU,NBA,SF,63,1804,.452,12.1,.676,.383,.138,.042,.113,.324,.507,.624,.329,.217,.435,.337,.479,.967,.073,32,.376,.418,1,0
D.J. Augustin,1987-11-10,0,2012-13,25,IND,NBA,PG,76,1226,.350,19.6,.354,.153,.075,.044,.082,.646,.346,.511,.091,.231,.333,.353,.222,.866,.000,0,.242,.435,3,0
D.J. Augustin,1987-11-10,0,2013-14,26,TOT,NBA,PG,71,1939,.415,16.6,.538,.224,.096,.068,.149,.462,.427,.534,.246,.367,.411,.401,.297,.639,.000,0,.190,.365,7,1
Jeff Ayres,1987-04-29,0,2014-15,27,SAS,NBA,PF,51,383,.579,3.8,1.000,.653,.189,.116,.042,.000,.579,.710,.389,.273,.250,,.727,,.221,17,,,0,0
Jeff Ayres,1987-04-29,0,2015-16,28,LAC,NBA,C,17,107,.522,6.7,.957,.478,.217,.130,.130,.043,.545,.636,.000,1.000,.667,.000,.750,,.087,1,.000,,0,0
Ömer Aşık,1986-07-04,0,2013-14,27,HOU,NBA,C,48,968,.532,2.8,1.000,.784,.174,.021,.021,.000,.532,.597,.273,.750,.000,,.644,,.211,36,,,0,0
Ömer Aşık,1986-07-04,0,2014-15,28,NOP,NBA,C,76,1982,.517,1.4,1.000,.896,.090,.012,.002,.000,.517,.553,.216,.200,.000,,.690,,.223,81,,,0,0
Tony Parker,1982-05-17,0,2009-10,27,SAS,NBA,PG,56,1728,.487,10.0,.953,.372,.158,.098,.325,.047,.497,.647,.478,.386,.369,.294,.271,.900,.000,0,.500,.412,0,0
Jeremy Pargo,1986-03-17,0,2011-12,25,MEM,NBA,PG,44,424,.333,14.0,.747,.240,.193,.067,.247,.253,.357,.611,.207,.400,.216,.263,.050,.800,.027,4,.158,.167,1,0
Darrell Arthur,1988-03-25,0,2013-14,25,DEN,NBA,SF,68,1161,.395,15.8,.844,.146,.076,.095,.527,.156,.399,.517,.226,.333,.403,.375,.841,1.000,.027,9,.234,.333,1,0
Darrell Arthur,1988-03-25,0,2014-15,26,DEN,NBA,PF,58,988,.404,16.3,.714,.138,.063,.138,.375,.286,.471,.623,.458,.434,.431,.236,.791,.962,.034,11,.173,.158,1,0
Carlos Arroyo,1979-07-30,0,2010-11,31,BOS,NBA,PG,15,190,.314,16.4,.857,.114,.029,.171,.543,.143,.267,.500,.000,.333,.211,.600,.500,.667,.000,0,.400,.500,0,0
Carlos Arroyo,1979-07-30,1,2009-10,30,MIA,NBA,PG,5,115,.462,17.3,.962,.077,.038,.115,.731,.038,.480,.000,.000,.333,.579,.000,.583,,.000,0,1.000,.000,0,0
Hilton Armstrong,1984-11-11,0,2009-10,25,HOU,NBA,C,9,40,.294,9.2,.941,.294,.294,.176,.176,.059,.313,.200,.200,.667,.333,.000,.400,,.118,1,.000,,0,0
Hilton Armstrong,1984-11-11,0,2010-11,26,TOT,NBA,C,53,488,.487,8.6,.947,.382,.250,.171,.145,.053,.486,.621,.421,.231,.545,.500,.514,.000,.145,10,.000,,0,0
Trevor Ariza,1985-06-30,0,2010-11,25,NOH,NBA,SF,75,2600,.398,13.5,.644,.286,.165,.064,.129,.356,.450,.674,.246,.204,.337,.303,.557,.963,.064,47,.384,.337,2,0
Trevor Ariza,1985-06-30,0,2011-12,26,NOH,NBA,SF,41,1350,.417,11.7,.784,.340,.156,.062,.226,.216,.440,.591,.317,.240,.352,.333,.554,.966,.045,18,.448,.410,1,0
Gilbert Arenas,1982-01-06,0,2010-11,29,TOT,NBA,PG,70,1796,.366,18.3,.554,.123,.109,.080,.243,.446,.423,.533,.350,.458,.388,.297,.227,.742,.000,0,.083,.259,4,0
Gilbert Arenas,1982-01-06,0,2010-11,29,WAS,NBA,PG,21,726,.394,18.7,.561,.097,.094,.076,.294,.439,.449,.656,.258,.480,.433,.324,.301,.809,.000,0,.062,.222,1,0
Chandler Parsons,1988-10-25,0,2012-13,24,HOU,NBA,SF,76,2758,.486,13.7,.579,.350,.112,.027,.091,.421,.559,.690,.352,.360,.365,.385,.641,.928,.054,47,.311,.496,0,0
Chandler Parsons,1988-10-25,0,2013-14,25,HOU,NBA,SF,74,2783,.472,12.6,.644,.333,.183,.064,.064,.356,.528,.644,.420,.429,.333,.370,.527,.946,.061,53,.214,.427,0,0
D.J. Augustin,1987-11-10,0,2013-14,26,TOR,NBA,PG,10,82,.292,16.3,.542,.208,.125,.042,.167,.458,.462,.400,.333,.000,.750,.091,.000,1.000,.000,0,.273,.333,0,0
D.J. Augustin,1987-11-10,0,2013-14,26,CHI,NBA,PG,61,1857,.419,16.6,.537,.225,.095,.069,.148,.463,.426,.538,.242,.375,.398,.411,.308,.636,.000,0,.187,.367,7,1
Jeff Ayres,1987-04-29,1,2009-10,22,POR,NBA,C,3,17,.500,2.7,1.000,.750,.000,.250,.000,.000,.500,.667,,.000,,,.500,,.750,2,,,0,0
Jeff Ayres,1987-04-29,1,2011-12,24,IND,NBA,C,4,9,.333,7.2,1.000,.333,.333,.333,.000,.000,.333,1.000,.000,.000,,,1.000,,.333,1,,,0,0
Ömer Aşık,1986-07-04,0,2015-16,29,NOP,NBA,C,68,1178,.533,1.5,1.000,.851,.133,.015,.005,.000,.533,.590,.231,.000,.000,,.712,,.231,43,,,0,0
