Name,Born,Season,Team,Lg,Salary
Moses Brown,1999-10-13,2020-21,Oklahoma City Thunder,NBA,< Minimum
Markel Brown,1992-01-29,2015-16,Brooklyn Nets,NBA,845059
Markel Brown,1992-01-29,2017-18,Houston Rockets,NBA,< Minimum
Darius Morris,1991-01-03,2012-13,Los Angeles Lakers,NBA,962195
Darius Morris,1991-01-03,2013-14,Philadelphia 76ers,NBA,1046269
Darius Morris,1991-01-03,2014-15,Brooklyn Nets,NBA,702756
Sterling Brown,1995-02-10,2018-19,Milwaukee Bucks,NBA,1378242
Sterling Brown,1995-02-10,2019-20,Milwaukee Bucks,NBA,1618520
Sterling Brown,1995-02-10,2020-21,Houston Rockets,NBA,1678854
Lorenzo Brown,1990-08-26,2014-15,Minnesota Timberwolves,NBA,283367
Jabari Brown,1992-12-18,2014-15,Los Angeles Lakers,NBA,44765
Derrick Brown,1987-09-08,2009-10,Charlotte Bobcats,NBA,457588
Markieff Morris,1989-09-02,2020-21,Los Angeles Lakers,NBA,2331593
Kwame Brown,1982-03-10,2009-10,Detroit Pistons,NBA,4100000
Jaylen Brown,1996-10-24,2016-17,Boston Celtics,NBA,4743000
Devin Brown,1978-12-30,2009-10,Chicago Bulls,NBA,1100000
Isaiah Stewart,2001-05-22,2020-21,Detroit Pistons,NBA,3121080
Lorenzo Brown,1990-08-26,2015-16,Detroit Pistons,NBA,117016
Lorenzo Brown,1990-08-26,2015-16,Phoenix Suns,NBA,111444
Lorenzo Brown,1990-08-26,2017-18,Toronto Raptors,NBA,< Minimum
Lorenzo Brown,1990-08-26,2018-19,Toronto Raptors,NBA,800000
Derrick Brown,1987-09-08,2010-11,Charlotte Bobcats,NBA,762195
Derrick Brown,1987-09-08,2011-12,Charlotte Bobcats,NBA,854389
Kwame Brown,1982-03-10,2010-11,Charlotte Bobcats,NBA,1229255
Kwame Brown,1982-03-10,2011-12,Golden State Warriors,NBA,6750000
Kwame Brown,1982-03-10,2012-13,Philadelphia 76ers,NBA,2819044
Kwame Brown,1982-03-10,2013-14,Philadelphia 76ers,NBA,2945901
Jaylen Brown,1996-10-24,2017-18,Boston Celtics,NBA,4956480
Jaylen Brown,1996-10-24,2018-19,Boston Celtics,NBA,5169960
Jaylen Brown,1996-10-24,2019-20,Boston Celtics,NBA,6534829
Jaylen Brown,1996-10-24,2020-21,Boston Celtics,NBA,23437500
D.J. Stephens,1990-12-19,2016-17,Memphis Grizzlies,NBA,35000
Lamar Stevens,1997-07-09,2020-21,Cleveland Cavaliers,NBA,652366
Alex Stepheson,1987-08-07,2015-16,Los Angeles Clippers,NBA,61776
Lamar Stevens,1997-07-09,2020-21,Cleveland Cavaliers,NBA,< Minimum
Alex Stepheson,1987-08-07,2015-16,Memphis Grizzlies,NBA,30888
Cassius Stanley,1999-08-18,2020-21,Indiana Pacers,NBA,< Minimum
Lance Stephenson,1990-09-05,2010-11,Indiana Pacers,NBA,750000
DeShawn Stevenson,1981-04-03,2009-10,Dallas Mavericks,NBA,3886928
Nik Stauskas,1993-10-07,2014-15,Sacramento Kings,NBA,2745840
Jerry Stackhouse,1974-11-05,2009-10,Memphis Grizzlies,NBA,2000000
Nate Wolters,1991-05-15,2014-15,Milwaukee Bucks,NBA,816482
Jeff Withey,1990-03-07,2014-15,New Orleans Pelicans,NBA,816482
James Wiseman,2001-03-31,2020-21,Golden State Warriors,NBA,8730240
Robert Woodard II,1999-09-22,2020-21,Sacramento Kings,NBA,1500000
Lance Stephenson,1990-09-05,2011-12,Indiana Pacers,NBA,810000
Lance Stephenson,1990-09-05,2012-13,Indiana Pacers,NBA,870000
Lance Stephenson,1990-09-05,2013-14,Indiana Pacers,NBA,1005000
Lance Stephenson,1990-09-05,2014-15,Charlotte Hornets,NBA,9000000
Lance Stephenson,1990-09-05,2015-16,Memphis Grizzlies,NBA,9000000
Lance Stephenson,1990-09-05,2016-17,Indiana Pacers,NBA,4000000
Lance Stephenson,1990-09-05,2016-17,New Orleans Pelicans,NBA,1227286
Lance Stephenson,1990-09-05,2016-17,Minnesota Timberwolves,NBA,144386
Lance Stephenson,1990-09-05,2017-18,Indiana Pacers,NBA,4180000
Lance Stephenson,1990-09-05,2018-19,Los Angeles Lakers,NBA,4449000
Christian Wood,1995-09-27,2015-16,Philadelphia 76ers,NBA,305789
Cassius Winston,1998-02-28,2020-21,Washington Wizards,NBA,< Minimum
DeShawn Stevenson,1981-04-03,2010-11,Dallas Mavericks,NBA,4151786
DeShawn Stevenson,1981-04-03,2011-12,New Jersey Nets,NBA,2500000
DeShawn Stevenson,1981-04-03,2012-13,Atlanta Hawks,NBA,2240450
Nik Stauskas,1993-10-07,2015-16,Philadelphia 76ers,NBA,2869440
Nik Stauskas,1993-10-07,2016-17,Philadelphia 76ers,NBA,2993040
Nik Stauskas,1993-10-07,2017-18,Brooklyn Nets,NBA,3807147
Nik Stauskas,1993-10-07,2018-19,Indiana Pacers,NBA,1621415
Nik Stauskas,1993-10-07,2018-19,Cleveland Cavaliers,NBA,540472
Jerry Stackhouse,1974-11-05,2009-10,Milwaukee Bucks,NBA,668598
Jerry Stackhouse,1974-11-05,2010-11,Miami Heat,NBA,222712
Jerry Stackhouse,1974-11-05,2011-12,Atlanta Hawks,NBA,1352181
Jerry Stackhouse,1974-11-05,2012-13,Brooklyn Nets,NBA,1352181
Metta World Peace,1979-11-13,2009-10,Los Angeles Lakers,NBA,5854000
Nate Wolters,1991-05-15,2014-15,New Orleans Pelicans,NBA,96056
Nate Wolters,1991-05-15,2016-17,Denver Nuggets,NBA,50000
Nate Wolters,1991-05-15,2017-18,Utah Jazz,NBA,< Minimum
Jeff Withey,1990-03-07,2015-16,Utah Jazz,NBA,947276
Jeff Withey,1990-03-07,2016-17,Utah Jazz,NBA,1015696
Jeff Withey,1990-03-07,2017-18,Dallas Mavericks,NBA,1577320
Dylan Windler,1996-09-22,2019-20,Cleveland Cavaliers,NBA,2035800
Ja Morant,1999-08-10,2019-20,Memphis Grizzlies,NBA,8730240
Ben Moore,1995-05-13,2017-18,Indiana Pacers,NBA,< Minimum
Christian Wood,1995-09-27,2016-17,Charlotte Hornets,NBA,874636
Christian Wood,1995-09-27,2018-19,New Orleans Pelicans,NBA,1512601
Christian Wood,1995-09-27,2019-20,Detroit Pistons,NBA,1645357
Christian Wood,1995-09-27,2020-21,Houston Rockets,NBA,13015874
Justise Winslow,1996-03-26,2015-16,Miami Heat,NBA,2481720
Matt Mooney,1997-02-07,2019-20,Cleveland Cavaliers,NBA,< Minimum
Mikki Moore,1975-11-04,2009-10,Sacramento Kings,NBA,2000000
E'Twaun Moore,1989-02-25,2011-12,Boston Celtics,NBA,473604
Metta World Peace,1979-11-13,2010-11,Los Angeles Lakers,NBA,6322320
Metta World Peace,1979-11-13,2011-12,Los Angeles Lakers,NBA,6790640
Metta World Peace,1979-11-13,2012-13,Los Angeles Lakers,NBA,7258960
Metta World Peace,1979-11-13,2013-14,New York Knicks,NBA,1590000
Metta World Peace,1979-11-13,2015-16,Los Angeles Lakers,NBA,1499187
Metta World Peace,1979-11-13,2016-17,Los Angeles Lakers,NBA,1551659
Dylan Windler,1996-09-22,2020-21,Cleveland Cavaliers,NBA,2137440
Ja Morant,1999-08-10,2020-21,Memphis Grizzlies,NBA,9166800
Ben Moore,1995-05-13,2018-19,Indiana Pacers,NBA,160096
Ben Moore,1995-05-13,2018-19,San Antonio Spurs,NBA,< Minimum
Justise Winslow,1996-03-26,2016-17,Miami Heat,NBA,2593440
Justise Winslow,1996-03-26,2017-18,Miami Heat,NBA,2705040
Justise Winslow,1996-03-26,2018-19,Miami Heat,NBA,3448926
Justise Winslow,1996-03-26,2019-20,Memphis Grizzlies,NBA,13000000
Justise Winslow,1996-03-26,2020-21,Memphis Grizzlies,NBA,13000000
Mikki Moore,1975-11-04,2009-10,Golden State Warriors,NBA,537952
E'Twaun Moore,1989-02-25,2012-13,Orlando Magic,NBA,762195
E'Twaun Moore,1989-02-25,2013-14,Orlando Magic,NBA,884293
E'Twaun Moore,1989-02-25,2014-15,Chicago Bulls,NBA,948163
E'Twaun Moore,1989-02-25,2015-16,Chicago Bulls,NBA,1015421
E'Twaun Moore,1989-02-25,2016-17,New Orleans Pelicans,NBA,8081363
E'Twaun Moore,1989-02-25,2017-18,New Orleans Pelicans,NBA,8445024
E'Twaun Moore,1989-02-25,2018-19,New Orleans Pelicans,NBA,8808685
E'Twaun Moore,1989-02-25,2019-20,New Orleans Pelicans,NBA,8664928
E'Twaun Moore,1989-02-25,2020-21,Phoenix Suns,NBA,2331593
Malik Monk,1998-02-04,2017-18,Charlotte Hornets,NBA,2904480
Adam Mokoka,1998-07-18,2019-20,Chicago Bulls,NBA,< Minimum
Luis Montero,1993-04-06,2015-16,Portland Trail Blazers,NBA,525093
Greg Monroe,1990-06-04,2010-11,Detroit Pistons,NBA,2798040
Jamario Moon,1980-06-13,2009-10,Cleveland Cavaliers,NBA,2750000
Malik Monk,1998-02-04,2018-19,Charlotte Hornets,NBA,3447480
Malik Monk,1998-02-04,2019-20,Charlotte Hornets,NBA,4028400
Malik Monk,1998-02-04,2020-21,Charlotte Hornets,NBA,5345687
Adam Mokoka,1998-07-18,2020-21,Chicago Bulls,NBA,< Minimum
Nazr Mohammed,1977-09-05,2009-10,Charlotte Bobcats,NBA,6466600
Luis Montero,1993-04-06,2017-18,Detroit Pistons,NBA,< Minimum
Greg Monroe,1990-06-04,2011-12,Detroit Pistons,NBA,3007920
Greg Monroe,1990-06-04,2012-13,Detroit Pistons,NBA,3217680
Greg Monroe,1990-06-04,2013-14,Detroit Pistons,NBA,4086454
Greg Monroe,1990-06-04,2014-15,Detroit Pistons,NBA,5479934
Greg Monroe,1990-06-04,2015-16,Milwaukee Bucks,NBA,16400000
Greg Monroe,1990-06-04,2016-17,Milwaukee Bucks,NBA,17100000
Greg Monroe,1990-06-04,2017-18,Phoenix Suns,NBA,16384175
Greg Monroe,1990-06-04,2017-18,Boston Celtics,NBA,5000000
R.J. Hunter,1993-10-24,2015-16,Boston Celtics,NBA,1148640
Jamario Moon,1980-06-13,2010-11,Los Angeles Clippers,NBA,3000000
Othello Hunter,1986-05-28,2009-10,Atlanta Hawks,NBA,307564
Vince Hunter,1994-08-05,2015-16,Sacramento Kings,NBA,35000
Chandler Hutchison,1996-04-26,2018-19,Chicago Bulls,NBA,1991520
Lindsey Hunter,1970-12-03,2009-10,Chicago Bulls,NBA,1306455
Steven Hunter,1981-10-31,2009-10,Memphis Grizzlies,NBA,3696000
Chris Hunter,1984-07-07,2009-10,Golden State Warriors,NBA,632455
Isaac Humphries,1998-01-05,2018-19,Atlanta Hawks,NBA,47371
De'Andre Hunter,1997-12-02,2019-20,Atlanta Hawks,NBA,7068360
Robbie Hummel,1989-03-08,2014-15,Minnesota Timberwolves,NBA,880000
Nazr Mohammed,1977-09-05,2010-11,Oklahoma City Thunder,NBA,6883800
Nazr Mohammed,1977-09-05,2011-12,Oklahoma City Thunder,NBA,3750000
Nazr Mohammed,1977-09-05,2012-13,Chicago Bulls,NBA,1352181
Nazr Mohammed,1977-09-05,2013-14,Chicago Bulls,NBA,1399507
Nazr Mohammed,1977-09-05,2014-15,Chicago Bulls,NBA,1448490
Nazr Mohammed,1977-09-05,2015-16,Oklahoma City Thunder,NBA,352750
Greg Monroe,1990-06-04,2018-19,Brooklyn Nets,NBA,2165481
Greg Monroe,1990-06-04,2018-19,Boston Celtics,NBA,122344
Greg Monroe,1990-06-04,2018-19,Philadelphia 76ers,NBA,59820
R.J. Hunter,1993-10-24,2016-17,Boston Celtics,NBA,1200240
R.J. Hunter,1993-10-24,2016-17,Chicago Bulls,NBA,425000
R.J. Hunter,1993-10-24,2017-18,Houston Rockets,NBA,< Minimum
R.J. Hunter,1993-10-24,2018-19,Boston Celtics,NBA,< Minimum
Kris Humphries,1985-02-06,2009-10,New Jersey Nets,NBA,3200000
Charlie Brown Jr.,1997-02-02,2019-20,Atlanta Hawks,NBA,< Minimum
Vince Hunter,1994-08-05,2017-18,Memphis Grizzlies,NBA,< Minimum
Chandler Hutchison,1996-04-26,2019-20,Chicago Bulls,NBA,2332320
Chandler Hutchison,1996-04-26,2020-21,Washington Wizards,NBA,2443440
De'Andre Hunter,1997-12-02,2020-21,Atlanta Hawks,NBA,7422000
Robbie Hummel,1989-03-08,2016-17,Denver Nuggets,NBA,150000
Kris Humphries,1985-02-06,2010-11,New Jersey Nets,NBA,3200000
Kris Humphries,1985-02-06,2011-12,New Jersey Nets,NBA,8000000
Kris Humphries,1985-02-06,2012-13,Brooklyn Nets,NBA,12000000
Kris Humphries,1985-02-06,2013-14,Boston Celtics,NBA,12000000
Kris Humphries,1985-02-06,2014-15,Washington Wizards,NBA,4300000
Kris Humphries,1985-02-06,2015-16,Phoenix Suns,NBA,4600000
Kris Humphries,1985-02-06,2015-16,Atlanta Hawks,NBA,388025
Kris Humphries,1985-02-06,2016-17,Atlanta Hawks,NBA,4000000
Charlie Brown Jr.,1997-02-02,2020-21,Oklahoma City Thunder,NBA,217844
Bruce Brown,1996-08-15,2018-19,Detroit Pistons,NBA,838464
Bruce Brown,1996-08-15,2019-20,Detroit Pistons,NBA,1416852
Bruce Brown,1996-08-15,2020-21,Brooklyn Nets,NBA,1663861
Anthony Brown,1992-10-10,2015-16,Los Angeles Lakers,NBA,700000
Anthony Brown,1992-10-10,2016-17,Los Angeles Lakers,NBA,874636
Anthony Brown,1992-10-10,2016-17,New Orleans Pelicans,NBA,108043
Anthony Brown,1992-10-10,2016-17,Orlando Magic,NBA,51449
Anthony Brown,1992-10-10,2017-18,Minnesota Timberwolves,NBA,< Minimum
Armoni Brooks,1998-06-05,2020-21,Houston Rockets,NBA,< Minimum
Malcolm Brogdon,1992-12-11,2016-17,Milwaukee Bucks,NBA,925000
Bobby Brown,1984-09-24,2009-10,Los Angeles Clippers,NBA,736420
Dillon Brooks,1996-01-22,2017-18,Memphis Grizzlies,NBA,815615
MarShon Brooks,1989-01-26,2011-12,New Jersey Nets,NBA,1110120
Aaron Brooks,1985-01-14,2009-10,Houston Rockets,NBA,1118520
Malcolm Brogdon,1992-12-11,2017-18,Milwaukee Bucks,NBA,1312611
Malcolm Brogdon,1992-12-11,2018-19,Milwaukee Bucks,NBA,1544951
Malcolm Brogdon,1992-12-11,2019-20,Indiana Pacers,NBA,20000000
Malcolm Brogdon,1992-12-11,2020-21,Indiana Pacers,NBA,20700000
Bobby Brown,1984-09-24,2016-17,Houston Rockets,NBA,934293
Bobby Brown,1984-09-24,2017-18,Houston Rockets,NBA,1230186
Ryan Broekhoff,1990-08-23,2018-19,Dallas Mavericks,NBA,838464
Jon Brockman,1987-03-20,2009-10,Sacramento Kings,NBA,457588
Dillon Brooks,1996-01-22,2018-19,Memphis Grizzlies,NBA,1378242
Dillon Brooks,1996-01-22,2019-20,Memphis Grizzlies,NBA,1618520
Dillon Brooks,1996-01-22,2020-21,Memphis Grizzlies,NBA,11400000
MarShon Brooks,1989-01-26,2012-13,Brooklyn Nets,NBA,1193280
MarShon Brooks,1989-01-26,2013-14,Boston Celtics,NBA,1210080
MarShon Brooks,1989-01-26,2017-18,Memphis Grizzlies,NBA,332477
MarShon Brooks,1989-01-26,2018-19,Chicago Bulls,NBA,1656092
Oshae Brissett,1998-06-20,2019-20,Toronto Raptors,NBA,< Minimum
Aaron Brooks,1985-01-14,2010-11,Phoenix Suns,NBA,2016692
Aaron Brooks,1985-01-14,2012-13,Sacramento Kings,NBA,3250000
Aaron Brooks,1985-01-14,2013-14,Sacramento Kings,NBA,3396250
Omari Spellman,1997-07-21,2018-19,Atlanta Hawks,NBA,1620480
Isaiah Briscoe,1996-04-13,2018-19,Orlando Magic,NBA,838464
Tiago Splitter,1985-01-01,2010-11,San Antonio Spurs,NBA,3400000
Jamil Wilson,1990-11-21,2015-16,Dallas Mavericks,NBA,50000
Ray Spalding,1997-03-11,2018-19,Dallas Mavericks,NBA,838464
Tony Snell,1991-11-10,2013-14,Chicago Bulls,NBA,1409040
Marreese Speights,1987-08-04,2009-10,Philadelphia 76ers,NBA,1658280
Darius Songaila,1978-02-14,2009-10,New Orleans Hornets,NBA,4526000
Ryan Broekhoff,1990-08-23,2019-20,Dallas Mavericks,NBA,1416852
Ryan Broekhoff,1990-08-23,2019-20,Philadelphia 76ers,NBA,< Minimum
Jon Brockman,1987-03-20,2010-11,Milwaukee Bucks,NBA,1000000
Jon Brockman,1987-03-20,2011-12,Milwaukee Bucks,NBA,1000000
Jon Brockman,1987-03-20,2012-13,Houston Rockets,NBA,1000000
Oshae Brissett,1998-06-20,2020-21,Indiana Pacers,NBA,955493
Oshae Brissett,1998-06-20,2020-21,Toronto Raptors,NBA,300000
Aaron Brooks,1985-01-14,2013-14,Houston Rockets,NBA,1027424
Aaron Brooks,1985-01-14,2014-15,Chicago Bulls,NBA,1145685
Aaron Brooks,1985-01-14,2015-16,Chicago Bulls,NBA,2000000
Aaron Brooks,1985-01-14,2016-17,Indiana Pacers,NBA,2700000
Aaron Brooks,1985-01-14,2017-18,Minnesota Timberwolves,NBA,1471382
Omari Spellman,1997-07-21,2019-20,Minnesota Timberwolves,NBA,1897800
Omari Spellman,1997-07-21,2020-21,New York Knicks,NBA,1988280
Tiago Splitter,1985-01-01,2011-12,San Antonio Spurs,NBA,3672000
Tiago Splitter,1985-01-01,2012-13,San Antonio Spurs,NBA,3944000
Tiago Splitter,1985-01-01,2013-14,San Antonio Spurs,NBA,10000000
Tiago Splitter,1985-01-01,2014-15,San Antonio Spurs,NBA,9250000
Tiago Splitter,1985-01-01,2015-16,Atlanta Hawks,NBA,8500000
Tiago Splitter,1985-01-01,2016-17,Philadelphia 76ers,NBA,8550000
Jamil Wilson,1990-11-21,2017-18,Los Angeles Clippers,NBA,< Minimum
Ray Spalding,1997-03-11,2018-19,Phoenix Suns,NBA,232117
Ray Spalding,1997-03-11,2019-20,Charlotte Hornets,NBA,< Minimum
Tony Snell,1991-11-10,2014-15,Chicago Bulls,NBA,1472400
Tony Snell,1991-11-10,2015-16,Chicago Bulls,NBA,1535880
Tony Snell,1991-11-10,2016-17,Milwaukee Bucks,NBA,2368327
Tony Snell,1991-11-10,2017-18,Milwaukee Bucks,NBA,9821429
Tony Snell,1991-11-10,2018-19,Milwaukee Bucks,NBA,10607143
Tony Snell,1991-11-10,2019-20,Detroit Pistons,NBA,11392857
Tony Snell,1991-11-10,2020-21,Atlanta Hawks,NBA,12178571
Marreese Speights,1987-08-04,2010-11,Philadelphia 76ers,NBA,1773960
Marreese Speights,1987-08-04,2011-12,Memphis Grizzlies,NBA,2721255
Marreese Speights,1987-08-04,2012-13,Cleveland Cavaliers,NBA,4200000
Marreese Speights,1987-08-04,2013-14,Golden State Warriors,NBA,3500000
Marreese Speights,1987-08-04,2014-15,Golden State Warriors,NBA,3657500
Marreese Speights,1987-08-04,2015-16,Golden State Warriors,NBA,3815000
Marreese Speights,1987-08-04,2016-17,Los Angeles Clippers,NBA,1403611
Marreese Speights,1987-08-04,2017-18,Orlando Magic,NBA,1471382
Darius Songaila,1978-02-14,2010-11,Philadelphia 76ers,NBA,4818000
D.J. Wilson,1996-02-19,2017-18,Milwaukee Bucks,NBA,2135040
Zion Williamson,2000-07-06,2019-20,New Orleans Pelicans,NBA,9757440
Nigel Williams-Goss,1994-09-16,2019-20,Utah Jazz,NBA,1500000
Troy Williams,1994-12-30,2016-17,Memphis Grizzlies,NBA,543471
D.J. Wilson,1996-02-19,2018-19,Milwaukee Bucks,NBA,2534280
D.J. Wilson,1996-02-19,2019-20,Milwaukee Bucks,NBA,2961120
D.J. Wilson,1996-02-19,2020-21,Houston Rockets,NBA,4548280
Zion Williamson,2000-07-06,2020-21,New Orleans Pelicans,NBA,10245480
Troy Williams,1994-12-30,2016-17,Houston Rockets,NBA,181969
Troy Williams,1994-12-30,2017-18,Houston Rockets,NBA,1471382
Troy Williams,1994-12-30,2017-18,New York Knicks,NBA,370794
Troy Williams,1994-12-30,2018-19,Houston Rockets,NBA,122741
Troy Williams,1994-12-30,2018-19,New Orleans Pelicans,NBA,34183
Troy Williams,1994-12-30,2018-19,Sacramento Kings,NBA,< Minimum
Troy Williams,1994-12-30,2019-20,Houston Rockets,NBA,122741
Troy Williams,1994-12-30,2020-21,Houston Rockets,NBA,122741
Terrence Williams,1987-06-28,2009-10,New Jersey Nets,NBA,2060040
Terrence Williams,1987-06-28,2010-11,Houston Rockets,NBA,2214480
Terrence Williams,1987-06-28,2011-12,Houston Rockets,NBA,2369040
Terrence Williams,1987-06-28,2012-13,Boston Celtics,NBA,296776
Sean Williams,1986-09-13,2009-10,New Jersey Nets,NBA,1629120
Shelden Williams,1983-10-21,2009-10,Boston Celtics,NBA,825497
Reggie Williams,1986-09-14,2010-11,Golden State Warriors,NBA,762195
Patrick Williams,2001-08-26,2020-21,Chicago Bulls,NBA,7068360
Cuttino Mobley,1975-09-01,2009-10,New York Knicks,NBA,9500000
Robert Williams,1997-10-17,2018-19,Boston Celtics,NBA,1654440
Shawne Williams,1986-02-16,2009-10,New Jersey Nets,NBA,2416067
Shelden Williams,1983-10-21,2010-11,New York Knicks,NBA,915852
Shelden Williams,1983-10-21,2011-12,New Jersey Nets,NBA,992680
Reggie Williams,1986-09-14,2011-12,Charlotte Bobcats,NBA,2500000
Reggie Williams,1986-09-14,2012-13,Charlotte Bobcats,NBA,2612500
Reggie Williams,1986-09-14,2013-14,Houston Rockets,NBA,947907
Reggie Williams,1986-09-14,2014-15,San Antonio Spurs,NBA,125104
Reggie Williams,1986-09-14,2016-17,New Orleans Pelicans,NBA,252676
Reggie Williams,1986-09-14,2016-17,Oklahoma City Thunder,NBA,50000
Shake Milton,1996-09-26,2018-19,Philadelphia 76ers,NBA,< Minimum
Robert Williams,1997-10-17,2019-20,Boston Celtics,NBA,1937520
Robert Williams,1997-10-17,2020-21,Boston Celtics,NBA,2029920
Donovan Mitchell,1996-09-07,2017-18,Utah Jazz,NBA,2621280
Shawne Williams,1986-02-16,2010-11,New York Knicks,NBA,885210
Shawne Williams,1986-02-16,2011-12,New Jersey Nets,NBA,3000000
Shawne Williams,1986-02-16,2012-13,Portland Trail Blazers,NBA,2600000
Shawne Williams,1986-02-16,2014-15,Milwaukee Bucks,NBA,1227985
Naz Mitrou-Long,1993-08-03,2017-18,Utah Jazz,NBA,92160 
Tony Mitchell,1992-04-07,2014-15,Phoenix Suns,NBA,816482
Nikola Mirotić,1991-02-11,2014-15,Chicago Bulls,NBA,5305000
Yao Ming,1980-09-12,2009-10,Houston Rockets,NBA,16378325
Quincy Miller,1992-11-18,2012-13,Denver Nuggets,NBA,473604
Elijah Millsap,1987-08-12,2014-15,Utah Jazz,NBA,241731
Shake Milton,1996-09-26,2019-20,Philadelphia 76ers,NBA,1445697
Shake Milton,1996-09-26,2020-21,Philadelphia 76ers,NBA,1701593
Elijah Hughes,1998-03-10,2020-21,Utah Jazz,NBA,898310
Mike Miller,1980-02-19,2009-10,Washington Wizards,NBA,9750000
Larry Hughes,1979-01-23,2009-10,Sacramento Kings,NBA,13655268
Paul Millsap,1985-02-10,2009-10,Utah Jazz,NBA,7692932
Patty Mills,1988-08-11,2009-10,Portland Trail Blazers,NBA,457588
Donovan Mitchell,1996-09-07,2018-19,Utah Jazz,NBA,3111480
Donovan Mitchell,1996-09-07,2019-20,Utah Jazz,NBA,3635760
Donovan Mitchell,1996-09-07,2020-21,Utah Jazz,NBA,5195501
Naz Mitrou-Long,1993-08-03,2018-19,Utah Jazz,NBA,< Minimum
Naz Mitrou-Long,1993-08-03,2019-20,Indiana Pacers,NBA,< Minimum
Nikola Mirotić,1991-02-11,2015-16,Chicago Bulls,NBA,5543725
Nikola Mirotić,1991-02-11,2016-17,Chicago Bulls,NBA,5782450
Nikola Mirotić,1991-02-11,2017-18,New Orleans Pelicans,NBA,12500000
Nikola Mirotić,1991-02-11,2018-19,Milwaukee Bucks,NBA,12500000
Yao Ming,1980-09-12,2010-11,Houston Rockets,NBA,17686100
Quincy Miller,1992-11-18,2013-14,Denver Nuggets,NBA,788872
Quincy Miller,1992-11-18,2014-15,Denver Nuggets,NBA,150000
Quincy Miller,1992-11-18,2014-15,Sacramento Kings,NBA,107676
Quincy Miller,1992-11-18,2014-15,Detroit Pistons,NBA,107676
Quincy Miller,1992-11-18,2015-16,Brooklyn Nets,NBA,50000
Elijah Millsap,1987-08-12,2015-16,Utah Jazz,NBA,362878
Elijah Millsap,1987-08-12,2016-17,Phoenix Suns,NBA,23069
Mike Miller,1980-02-19,2010-11,Miami Heat,NBA,5000000
Mike Miller,1980-02-19,2011-12,Miami Heat,NBA,5400000
Mike Miller,1980-02-19,2012-13,Miami Heat,NBA,5800000
Mike Miller,1980-02-19,2013-14,Memphis Grizzlies,NBA,1399507
Mike Miller,1980-02-19,2014-15,Miami Heat,NBA,6600000
Mike Miller,1980-02-19,2014-15,Cleveland Cavaliers,NBA,2732000
Mike Miller,1980-02-19,2015-16,Portland Trail Blazers,NBA,2854940
Mike Miller,1980-02-19,2015-16,Denver Nuggets,NBA,1499187
Mike Miller,1980-02-19,2016-17,Denver Nuggets,NBA,3500000
Larry Hughes,1979-01-23,2011-12,Orlando Magic,NBA,414443
Paul Millsap,1985-02-10,2010-11,Utah Jazz,NBA,7600000
Paul Millsap,1985-02-10,2011-12,Utah Jazz,NBA,8103435
Paul Millsap,1985-02-10,2012-13,Utah Jazz,NBA,8603633
Paul Millsap,1985-02-10,2013-14,Atlanta Hawks,NBA,9500000
Paul Millsap,1985-02-10,2014-15,Atlanta Hawks,NBA,9500000
Paul Millsap,1985-02-10,2015-16,Atlanta Hawks,NBA,19000000
Paul Millsap,1985-02-10,2016-17,Atlanta Hawks,NBA,20072033
Patty Mills,1988-08-11,2010-11,Portland Trail Blazers,NBA,937195
Patty Mills,1988-08-11,2012-13,San Antonio Spurs,NBA,1085120
Patty Mills,1988-08-11,2013-14,San Antonio Spurs,NBA,1133950
Patty Mills,1988-08-11,2014-15,San Antonio Spurs,NBA,3842105
Patty Mills,1988-08-11,2015-16,San Antonio Spurs,NBA,3578947
Patty Mills,1988-08-11,2016-17,San Antonio Spurs,NBA,3578948
Patty Mills,1988-08-11,2017-18,San Antonio Spurs,NBA,10714286
Patty Mills,1988-08-11,2018-19,San Antonio Spurs,NBA,11571429
Patty Mills,1988-08-11,2019-20,San Antonio Spurs,NBA,12428571
Patty Mills,1988-08-11,2020-21,San Antonio Spurs,NBA,13535714
Paul Millsap,1985-02-10,2017-18,Denver Nuggets,NBA,31269231
Paul Millsap,1985-02-10,2018-19,Denver Nuggets,NBA,29230769
Paul Millsap,1985-02-10,2019-20,Denver Nuggets,NBA,30000000
Paul Millsap,1985-02-10,2020-21,Denver Nuggets,NBA,10000000
Josh Huestis,1991-12-19,2015-16,Oklahoma City Thunder,NBA,1140240
Josh Huestis,1991-12-19,2016-17,Oklahoma City Thunder,NBA,1191480
Josh Huestis,1991-12-19,2017-18,Oklahoma City Thunder,NBA,1471382
William Howard,1993-10-25,2019-20,Utah Jazz,NBA,50000
Markus Howard,1999-03-03,2020-21,Denver Nuggets,NBA,< Minimum
Kevin Huerter,1998-08-27,2018-19,Atlanta Hawks,NBA,2250960
Marcelo Huertas,1983-05-25,2015-16,Los Angeles Lakers,NBA,525093
