Name,Born,Year,Age,Team,Lg,Round,W/L,Opp,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP_PerG,PTS_PerG,TRB_PerG,AST_PerG
Luis Montero,1993-04-06,2016,22,POR,2016,,W,LAC,4,2,2,6,2,2,2,2,0,0,0,0,0,0,0,0,1,6,1.000,1.000,,1.4,1.5,0.0,0.0
Greg Monroe,1990-06-04,2017,26,MIL,2017,,L,TOR,6,2,4,141,27,51,0,0,25,30,17,44,10,8,3,11,16,79,.529,,.833,23.5,13.2,7.3,1.7
Justise Winslow,1996-03-26,2016,19,MIA,2016,,W,CHO,7,4,3,166,17,40,2,12,9,13,7,33,5,5,2,3,14,45,.425,.167,.692,23.8,6.4,4.7,0.7
E'Twaun Moore,1989-02-25,2015,25,CHI,2015,,W,MIL,1,1,0,4,1,2,1,1,0,0,0,3,0,0,0,0,1,3,.500,1.000,,4.3,3.0,3.0,0.0
E'Twaun Moore,1989-02-25,2015,25,CHI,2015,,L,CLE,2,0,2,4,1,4,0,0,0,0,0,0,0,2,0,0,0,2,.250,,,2.1,1.0,0.0,0.0
Luis Montero,1993-04-06,2016,22,POR,2016,,L,GSW,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,1.0,0.0,0.0
Greg Monroe,1990-06-04,2018,27,BOS,2018,,W,MIL,5,2,3,59,9,23,0,0,10,15,11,22,4,0,1,8,2,28,.391,,.667,11.7,5.6,4.4,0.8
Greg Monroe,1990-06-04,2018,27,BOS,2018,,W,PHI,2,1,1,14,3,6,0,0,1,1,1,3,0,1,1,2,2,7,.500,,1.000,6.8,3.5,1.5,0.0
Justise Winslow,1996-03-26,2016,19,MIA,2016,,L,TOR,6,3,3,163,15,34,3,6,12,17,10,30,3,3,2,9,21,45,.441,.500,.706,27.2,7.5,5.0,0.5
Justise Winslow,1996-03-26,2018,21,MIA,2018,,L,PHI,5,1,4,125,15,42,7,19,12,17,7,33,13,4,4,8,17,49,.357,.368,.706,25.0,9.8,6.6,2.6
D.J. Wilson,1996-02-19,2019,22,MIL,2019,,W,DET,4,4,0,27,6,9,1,3,0,0,1,6,3,0,0,4,4,13,.667,.333,,6.7,3.3,1.5,0.8
Nigel Williams-Goss,1994-09-16,2020,25,UTA,2020,,L,DEN,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.4,0.0,0.0,1.0
