name,Season,Lg,Tm,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,2009-10,NBA,CLE,82,0.0%,5.8%,2.9%,+.012,8.7%,4.4%,+.014,5.1%,2.5%,+.012,-1.0%,0.6%,-.013,-9.6%,2.4%,-0.9%,5.9%,4.4%,-3.8%,-8.1%,2.6%,4.6%
Chicago Bulls,2020-21,NBA,CHI,72,10.9%,16.2%,17.7%,-.006,14.2%,13.2%,+.003,16.9%,20.5%,-.016,-3.5%,-5.4%,+.015,-5.5%,4.8%,2.5%,5.1%,15.8%,-5.2%,-22.7%,2.5%,12.4%
Chicago Bulls,2019-20,NBA,CHI,65,-21.3%,-25.9%,-26.7%,+.005,-26.7%,-24.1%,-.013,-25.5%,-28.2%,+.020,-6.8%,-6.3%,-.004,-19.9%,-23.0%,-22.3%,-21.1%,-11.7%,-18.8%,8.7%,-18.8%,-23.1%
Chicago Bulls,2018-19,NBA,CHI,82,0.3%,3.1%,2.8%,+.001,0.0%,1.2%,-.004,4.4%,3.8%,+.003,5.4%,8.7%,-.024,19.2%,-2.3%,1.7%,-1.4%,2.0%,11.8%,-1.8%,7.6%,3.1%
Chicago Bulls,2017-18,NBA,CHI,82,0.4%,3.8%,0.2%,+.016,35.4%,26.3%,+.025,-5.4%,-10.9%,+.031,9.2%,6.8%,+.018,-18.0%,13.2%,5.7%,9.5%,-2.3%,11.9%,1.1%,-7.5%,7.3%
Chicago Bulls,2016-17,NBA,CHI,82,-0.6%,0.1%,-3.2%,+.015,12.3%,12.5%,-.001,-3.0%,-8.6%,+.029,-10.5%,-14.2%,+.032,-13.0%,-3.6%,-6.0%,4.9%,-8.1%,-18.7%,12.9%,0.4%,-0.7%
Chicago Bulls,2015-16,NBA,CHI,82,0.1%,4.5%,3.2%,+.006,21.0%,17.4%,+.010,1.0%,-1.0%,+.010,3.6%,5.2%,-.012,0.6%,7.7%,5.8%,11.5%,6.7%,5.0%,-2.6%,-11.6%,5.4%
Chicago Bulls,2014-15,NBA,CHI,82,-0.3%,8.0%,6.7%,+.005,0.0%,4.8%,-.016,9.8%,7.3%,+.010,2.8%,3.3%,-.004,9.9%,3.6%,5.2%,3.3%,-1.1%,-9.6%,-15.1%,1.3%,6.5%
Chicago Bulls,2013-14,NBA,CHI,82,0.5%,-1.3%,1.4%,-.012,18.8%,17.0%,+.005,-5.1%,-2.4%,-.013,-7.0%,-8.7%,+.014,-2.8%,1.6%,0.4%,3.8%,3.5%,2.7%,4.9%,6.5%,-1.1%
Chicago Bulls,2012-13,NBA,CHI,82,24.4%,27.2%,21.1%,+.021,48.5%,39.4%,+.021,24.0%,17.3%,+.025,42.7%,42.8%,-.000,20.1%,30.7%,27.7%,24.1%,22.4%,39.1%,28.2%,38.0%,30.9%
Chicago Bulls,2011-12,NBA,CHI,66,-19.6%,-18.6%,-16.9%,-.009,-28.6%,-28.2%,-.002,-16.8%,-14.1%,-.014,-34.8%,-32.6%,-.024,-9.4%,-18.6%,-16.2%,-20.0%,-13.7%,-28.1%,-24.4%,-29.1%,-22.3%
Chicago Bulls,2010-11,NBA,CHI,82,-0.4%,-7.8%,-5.3%,-.012,-26.9%,-22.1%,-.021,-3.3%,0.2%,-.016,-0.5%,-3.1%,+.020,-9.6%,-10.3%,-10.1%,-9.3%,-1.7%,8.9%,6.3%,0.1%,-7.9%
Chicago Bulls,2009-10,NBA,CHI,82,-0.1%,-3.1%,0.3%,-.016,20.2%,20.0%,+.000,-7.4%,-4.7%,-.013,-10.8%,-5.7%,-.042,-9.9%,3.9%,-0.1%,-0.5%,-7.1%,-2.4%,-7.4%,-3.8%,-3.3%
Charlotte Hornets,2020-21,NBA,CHO,72,10.2%,9.7%,11.5%,-.008,29.8%,24.9%,+.014,1.3%,2.6%,-.007,14.0%,15.9%,-.012,7.7%,9.3%,8.9%,12.6%,11.3%,5.8%,13.6%,0.2%,12.5%
Charlotte Hornets,2019-20,NBA,CHO,65,-20.6%,-21.2%,-22.2%,+.006,-19.1%,-17.1%,-.009,-22.1%,-25.2%,+.023,-30.6%,-27.9%,-.030,-13.8%,-22.3%,-20.5%,-18.8%,-7.4%,-33.3%,-15.7%,-20.7%,-22.3%
Charlotte Hornets,2018-19,NBA,CHO,82,0.3%,2.0%,1.6%,+.002,7.1%,11.4%,-.014,0.0%,-3.6%,+.019,10.1%,11.1%,-.007,19.2%,1.4%,4.8%,5.1%,4.2%,21.8%,-0.3%,-8.3%,3.6%
Charlotte Hornets,2017-18,NBA,CHO,82,-0.3%,4.1%,1.5%,+.012,-2.5%,-4.2%,+.007,6.9%,4.8%,+.010,2.2%,-0.1%,+.018,-5.5%,-0.6%,-1.6%,0.8%,0.6%,-10.2%,3.8%,12.8%,3.1%
Charlotte Hornets,2016-17,NBA,CHO,82,-0.1%,4.5%,1.7%,+.012,30.9%,23.8%,+.020,-3.6%,-7.6%,+.021,-13.0%,-13.8%,+.007,0.8%,-0.9%,-0.6%,5.8%,-2.5%,0.4%,-2.9%,-2.3%,4.0%
Charlotte Hornets,2015-16,NBA,CHO,82,-0.3%,2.6%,1.6%,+.004,11.9%,14.6%,-.009,0.0%,-3.1%,+.015,3.3%,3.7%,-.003,-0.3%,1.6%,1.2%,4.7%,10.2%,1.8%,6.8%,-2.2%,3.4%
Charlotte Hornets,2014-15,NBA,CHO,82,0.0%,-0.1%,0.4%,-.002,-2.4%,0.9%,-.012,0.6%,0.2%,+.002,3.3%,1.5%,+.014,-7.3%,4.5%,1.9%,5.6%,-2.3%,6.0%,-5.2%,-0.5%,0.3%
Charlotte Hornets,2013-14,NBA,CHA,82,0.5%,-5.1%,1.1%,-.029,-7.1%,-2.5%,-.018,-4.5%,2.5%,-.034,-6.1%,-7.6%,+.012,-19.2%,4.6%,-1.8%,-17.0%,-9.7%,-26.5%,-5.4%,-1.7%,-5.4%
Charlotte Hornets,2012-13,NBA,CHA,82,24.6%,24.0%,25.0%,-.004,76.4%,61.7%,+.032,14.2%,15.1%,-.004,19.5%,20.1%,-.004,24.8%,20.6%,21.7%,34.7%,14.0%,49.5%,29.4%,30.2%,26.5%
Charlotte Hornets,2011-12,NBA,CHA,66,-19.8%,-13.1%,-16.7%,+.019,-29.6%,-29.0%,-.003,-9.1%,-12.6%,+.019,-25.1%,-22.1%,-.030,-3.2%,-10.3%,-8.6%,-13.5%,-17.0%,-23.8%,-17.7%,-22.5%,-16.6%
Charlotte Hornets,2010-11,NBA,CHA,82,-0.4%,1.1%,-0.7%,+.008,0.7%,-5.1%,+.021,1.1%,0.9%,+.001,17.2%,11.6%,+.038,-7.4%,2.7%,0.0%,6.7%,-2.1%,-1.2%,-13.9%,-4.1%,3.7%
Charlotte Hornets,2009-10,NBA,CHA,82,-0.3%,1.5%,2.9%,-.007,2.7%,11.1%,-.028,1.2%,0.4%,+.004,-12.8%,-11.3%,-.013,-1.0%,3.1%,2.0%,3.9%,-1.9%,2.9%,4.1%,5.3%,-1.1%
Brooklyn Nets,2020-21,NBA,BRK,72,-0.4%,1.2%,-1.7%,+.013,8.4%,4.1%,+.015,-1.8%,-5.2%,+.018,-1.8%,-2.5%,+.006,-1.7%,-7.6%,-6.2%,6.1%,-0.7%,-12.9%,-1.2%,-10.5%,1.5%
Brooklyn Nets,2019-20,NBA,BRK,72,-12.5%,-13.8%,-11.8%,-.011,3.4%,0.8%,+.009,-19.4%,-17.9%,-.010,-13.3%,-13.2%,-.001,-15.1%,-12.0%,-12.8%,-16.2%,-13.2%,-12.3%,-16.8%,-15.8%,-12.2%
Brooklyn Nets,2018-19,NBA,BRK,82,0.6%,1.2%,3.4%,-.010,14.4%,23.7%,-.028,-2.4%,-4.3%,+.010,-2.0%,-2.6%,+.005,5.7%,-3.1%,-1.1%,9.1%,1.3%,-4.0%,8.8%,11.9%,1.8%
Brooklyn Nets,2017-18,NBA,BRK,82,0.5%,0.1%,-1.5%,+.008,-9.2%,-9.9%,+.003,3.0%,2.1%,+.005,-7.0%,-6.2%,-.006,-5.4%,0.5%,-0.9%,-5.6%,-19.2%,-1.5%,-7.1%,-3.4%,-1.9%
Brooklyn Nets,2016-17,NBA,BRK,82,0.0%,2.1%,6.7%,-.021,5.3%,6.3%,-.003,1.1%,6.8%,-.028,28.9%,27.4%,+.009,7.4%,9.0%,8.7%,-5.9%,8.3%,6.3%,-6.0%,10.7%,6.1%
Brooklyn Nets,2015-16,NBA,BRK,82,-0.9%,6.2%,1.0%,+.023,11.4%,8.0%,+.011,4.7%,-1.7%,+.032,-4.0%,-8.0%,+.032,-10.4%,0.7%,-2.1%,3.2%,12.0%,15.6%,2.2%,-8.0%,5.1%
Brooklyn Nets,2014-15,NBA,BRK,82,0.3%,5.7%,6.2%,-.002,5.1%,7.9%,-.009,5.9%,5.5%,+.002,-17.0%,-13.7%,-.029,1.7%,4.0%,3.4%,12.8%,5.8%,10.4%,-12.3%,-3.7%,1.4%
Brooklyn Nets,2013-14,NBA,BRK,82,0.1%,-2.8%,-1.6%,-.006,27.8%,27.3%,+.001,-9.0%,-9.4%,+.002,34.1%,29.0%,+.029,4.9%,11.0%,9.4%,-1.9%,-1.0%,-13.6%,17.6%,-2.7%,4.7%
Brooklyn Nets,2012-13,NBA,BRK,82,25.0%,22.6%,24.9%,-.009,20.2%,22.9%,-.008,23.1%,25.5%,-.010,3.8%,5.2%,-.010,12.6%,15.0%,14.3%,14.1%,17.0%,18.2%,16.9%,37.4%,19.3%
Brooklyn Nets,2011-12,NBA,NJN,66,-20.6%,-18.5%,-19.8%,+.008,-15.0%,-17.4%,+.010,-19.2%,-20.5%,+.008,-30.4%,-29.4%,-.011,-8.1%,-21.1%,-17.9%,-15.6%,-6.4%,-12.0%,-6.6%,-22.2%,-20.6%
Brooklyn Nets,2010-11,NBA,NJN,82,1.1%,-3.2%,0.1%,-.016,8.3%,9.0%,-.002,-5.3%,-2.0%,-.017,5.2%,4.7%,+.004,-8.2%,-4.0%,-5.1%,-6.9%,-12.1%,-10.9%,-12.1%,-0.5%,-1.1%
Brooklyn Nets,2009-10,NBA,NJN,82,-0.3%,7.4%,3.3%,+.019,-22.0%,-16.8%,-.024,14.9%,9.6%,+.023,-13.1%,-11.4%,-.014,6.1%,6.3%,6.3%,9.3%,12.5%,7.1%,4.2%,-2.0%,1.0%
Boston Celtics,2020-21,NBA,BOS,72,-0.3%,4.0%,-1.2%,+.023,8.7%,-1.2%,+.034,1.9%,-1.2%,+.016,-1.6%,-3.9%,+.019,-8.9%,-2.7%,-4.2%,7.4%,3.3%,-15.7%,-7.5%,-6.6%,3.6%
Boston Celtics,2019-20,NBA,BOS,72,-11.9%,-14.7%,-13.2%,-.008,-9.9%,-8.9%,-.004,-16.6%,-15.9%,-.005,-5.6%,-5.9%,+.003,-12.8%,-15.9%,-15.2%,-16.9%,-7.6%,24.9%,-11.6%,-7.2%,-12.7%
Boston Celtics,2018-19,NBA,BOS,82,-0.1%,5.6%,3.6%,+.009,22.8%,21.1%,+.005,-0.1%,-4.9%,+.025,7.2%,7.1%,+.001,7.7%,3.9%,4.7%,11.2%,-6.4%,-12.9%,7.1%,2.0%,7.5%
Boston Celtics,2017-18,NBA,BOS,82,0.3%,-3.2%,-0.9%,-.011,4.6%,2.6%,+.007,-5.6%,-2.5%,-.016,-15.0%,-14.4%,-.006,-10.4%,1.3%,-1.6%,-5.8%,-4.7%,-14.4%,1.6%,-5.6%,-4.7%
Boston Celtics,2016-17,NBA,BOS,82,-0.1%,3.0%,0.9%,+.009,14.3%,15.7%,-.004,0.0%,-4.7%,+.024,-2.7%,-4.4%,+.014,-5.3%,-2.4%,-3.1%,7.9%,0.2%,-5.6%,-15.4%,-3.1%,2.8%
Boston Celtics,2015-16,NBA,BOS,82,-0.5%,-1.6%,0.4%,-.009,5.9%,6.0%,-.000,-3.4%,-1.5%,-.009,11.9%,11.9%,-.000,4.4%,2.4%,2.9%,-4.6%,6.7%,4.4%,8.8%,11.2%,1.3%
Boston Celtics,2014-15,NBA,BOS,82,0.8%,0.8%,4.0%,-.014,12.6%,16.2%,-.011,-1.7%,0.3%,-.010,-4.9%,-4.2%,-.006,2.5%,6.8%,5.7%,-0.8%,-4.3%,15.5%,6.1%,-1.2%,0.5%
Boston Celtics,2013-14,NBA,BOS,82,-0.6%,6.0%,0.5%,+.024,-2.0%,-3.5%,+.005,7.8%,1.8%,+.028,5.8%,2.9%,+.021,-5.8%,-0.3%,-1.7%,3.5%,-3.9%,-1.3%,-5.7%,-0.6%,5.4%
Boston Celtics,2012-13,NBA,BOS,81,24.5%,32.6%,26.2%,+.021,59.9%,44.1%,+.034,27.5%,21.3%,+.023,26.0%,29.3%,-.019,18.4%,25.7%,23.7%,42.1%,23.1%,24.3%,19.7%,29.3%,32.9%
Boston Celtics,2011-12,NBA,BOS,66,-19.4%,-20.3%,-17.4%,-.015,-22.3%,-14.3%,-.032,-19.9%,-18.2%,-.009,-23.8%,-24.2%,+.003,-9.4%,-13.3%,-12.2%,-19.6%,-10.3%,-16.5%,-18.0%,-26.6%,-21.1%
Boston Celtics,2010-11,NBA,BOS,82,0.0%,-3.9%,-0.3%,-.016,-5.7%,-5.2%,-.002,-3.5%,1.0%,-.022,-7.0%,-8.2%,+.010,-0.7%,-1.3%,-1.1%,-3.3%,-0.7%,-5.7%,-1.6%,-6.6%,-4.6%
Boston Celtics,2009-10,NBA,BOS,82,-0.5%,4.2%,-0.4%,+.020,-7.3%,-5.3%,-.007,6.8%,1.0%,+.026,-1.2%,2.0%,-.024,4.1%,7.5%,6.6%,2.1%,-1.2%,-0.8%,7.4%,-2.4%,2.3%
