Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Malcolm Delaney,1989-03-11,0,2017-18,28,ATL,NBA,PG,54,3,1014,5.3,13.7,.382,2.2,6.0,.371,3.0,7.8,.391,3.6,4.4,.804,0.4,4.4,4.8,7.9,1.7,0.3,3.2,4.0,16.3,104,113
Malcolm Delaney,1989-03-11,1,2016-17,27,ATL,NBA,PG,1,0,3,48.8,48.8,1.000,16.3,16.3,1.000,32.5,32.5,1.000,16.3,32.5,.500,0.0,16.3,16.3,0.0,0.0,0.0,0.0,0.0,130.1,210,107
Carlos Delfino,1982-08-29,0,2009-10,27,MIL,NBA,SF,75,66,2279,6.9,16.8,.408,3.1,8.4,.367,3.8,8.4,.450,2.1,2.7,.782,1.2,7.9,9.1,4.6,1.8,0.5,2.7,3.2,19.0,103,103
Luol Deng,1985-04-16,0,2009-10,24,CHI,NBA,SF,70,69,2651,9.2,19.7,.466,0.6,1.6,.386,8.6,18.1,.474,4.9,6.4,.764,2.5,7.4,10.0,2.8,1.3,1.2,2.6,2.5,23.9,106,106
Bryce Dejean-Jones,1992-08-21,0,2015-16,23,NOP,NBA,SG,14,11,279,5.0,12.3,.406,2.1,5.7,.375,2.8,6.6,.432,2.0,3.7,.524,1.4,7.1,8.5,2.7,1.8,0.4,2.0,3.0,14.0,99,110
Gabriel Deck,1995-02-08,0,2020-21,25,OKC,NBA,PF,10,0,212,7.2,15.0,.478,0.4,3.4,.133,6.7,11.7,.577,4.0,4.9,.818,3.6,5.4,9.0,5.4,1.8,0.0,1.3,2.0,18.8,121,115
Sam Dekker,1994-05-06,0,2018-19,24,TOT,NBA,PF,47,5,788,7.3,15.5,.469,1.2,3.8,.306,6.1,11.8,.521,1.7,2.8,.609,3.2,5.8,9.0,2.8,2.3,0.4,1.5,2.9,17.4,109,114
Sam Dekker,1994-05-06,0,2018-19,24,CLE,NBA,PF,9,5,169,6.5,14.1,.458,1.5,3.8,.385,5.0,10.3,.486,2.4,2.9,.800,2.6,7.1,9.7,2.6,3.2,0.0,1.5,3.8,16.8,114,114
Justin Dentmon,1985-09-05,0,2012-13,27,DAL,NBA,PG,2,0,4,0.0,25.5,.000,0.0,0.0,,0.0,25.5,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116
Matthew Dellavedova,1990-09-08,0,2014-15,24,CLE,NBA,SG,67,13,1380,4.2,11.6,.362,2.6,6.3,.407,1.6,5.3,.307,1.1,1.4,.763,1.4,3.4,4.7,7.7,0.9,0.1,2.3,5.7,12.0,109,111
Matthew Dellavedova,1990-09-08,0,2015-16,25,CLE,NBA,PG,76,14,1867,5.7,14.1,.405,2.7,6.6,.410,3.0,7.5,.401,1.6,1.8,.864,0.9,3.6,4.5,9.3,1.2,0.2,3.2,4.9,15.7,109,108
Carlos Delfino,1982-08-29,0,2010-11,28,MIL,NBA,SF,49,40,1590,6.7,17.3,.390,3.5,9.6,.370,3.2,7.7,.415,2.0,2.5,.800,0.8,5.9,6.7,3.8,2.6,0.3,1.9,2.4,19.0,104,102
Carlos Delfino,1982-08-29,0,2011-12,29,MIL,NBA,SF,54,53,1537,6.1,15.1,.402,2.9,8.0,.360,3.2,7.1,.449,1.3,1.6,.792,0.7,6.3,6.9,4.1,2.6,0.3,2.2,3.3,16.3,102,104
Luol Deng,1985-04-16,0,2010-11,25,CHI,NBA,SF,82,82,3208,8.8,19.1,.460,1.9,5.5,.345,6.9,13.6,.506,4.2,5.6,.753,1.9,6.0,7.9,3.8,1.3,0.8,2.6,2.7,23.7,111,102
Luol Deng,1985-04-16,0,2011-12,26,CHI,NBA,SF,54,54,2129,7.9,19.1,.412,2.0,5.4,.367,5.9,13.7,.430,3.2,4.2,.770,1.9,6.9,8.9,4.0,1.4,0.9,2.4,2.0,20.9,105,100
Sam Dekker,1994-05-06,0,2018-19,24,WAS,NBA,PF,38,0,619,7.5,15.9,.471,1.1,3.7,.286,6.4,12.2,.528,1.5,2.8,.556,3.4,5.4,8.8,2.8,2.1,0.5,1.5,2.6,17.6,108,114
Sam Dekker,1994-05-06,1,2016-17,22,HOU,NBA,PF,4,0,31,4.8,19.3,.250,4.8,9.6,.500,0.0,9.6,.000,0.0,0.0,,8.0,8.0,16.1,1.6,1.6,1.6,0.0,3.2,14.5,105,108
Nando De Colo,1987-06-23,0,2012-13,25,SAS,NBA,SG,72,6,920,5.8,13.3,.436,1.7,4.5,.378,4.1,8.8,.465,1.9,2.4,.795,1.3,6.4,7.6,7.6,2.3,0.3,4.5,4.8,15.3,97,102
Dewayne Dedmon,1989-08-12,0,2013-14,24,TOT,NBA,C,31,6,390,4.9,10.7,.458,0.0,0.0,,4.9,10.7,.458,2.7,4.1,.656,4.9,11.4,16.3,0.6,0.9,2.8,2.3,8.5,12.5,100,105
Mike Harris,1983-06-15,0,2009-10,26,TOT,NBA,PF,13,0,96,5.9,16.0,.367,0.0,0.5,.000,5.9,15.5,.379,3.7,5.9,.636,5.3,7.5,12.8,1.6,2.7,0.5,4.8,7.5,15.5,82,105
DeMar DeRozan,1989-08-07,0,2009-10,20,TOR,NBA,SG,77,65,1664,7.9,15.9,.498,0.1,0.5,.250,7.8,15.4,.506,4.6,6.0,.763,2.0,4.9,6.9,1.6,1.3,0.6,1.9,5.5,20.5,110,115
Manny Harris,1989-09-21,0,2010-11,21,CLE,NBA,SG,54,15,933,6.0,16.0,.374,1.9,5.1,.370,4.1,10.9,.376,3.9,5.1,.763,2.0,5.8,7.7,4.7,1.7,0.4,3.5,3.6,17.7,95,112
Matthew Dellavedova,1990-09-08,0,2016-17,26,MIL,NBA,PG,76,54,1986,5.3,13.7,.390,2.0,5.5,.367,3.3,8.2,.404,2.1,2.5,.854,0.6,3.1,3.8,9.1,1.4,0.0,3.4,3.9,14.8,102,114
Matthew Dellavedova,1990-09-08,0,2017-18,27,MIL,NBA,PG,38,3,712,3.9,10.6,.362,2.0,5.5,.372,1.8,5.2,.351,1.8,1.9,.926,1.0,3.5,4.5,10.2,1.0,0.0,3.4,4.7,11.5,104,115
Carlos Delfino,1982-08-29,0,2012-13,30,HOU,NBA,SF,67,5,1689,7.4,18.3,.405,4.7,12.4,.375,2.7,5.9,.467,1.4,1.7,.857,0.5,6.0,6.5,4.0,2.0,0.3,2.1,3.4,20.9,109,107
Carlos Delfino,1982-08-29,1,2009-10,27,MIL,NBA,SF,7,7,226,6.4,18.1,.356,3.7,9.2,.405,2.7,8.9,.306,0.7,1.0,.750,0.7,6.2,6.9,4.5,1.2,0.5,3.0,3.5,17.3,94,111
Luol Deng,1985-04-16,0,2012-13,27,CHI,NBA,SF,75,75,2903,8.6,20.2,.426,1.4,4.3,.322,7.2,15.9,.455,4.3,5.2,.816,3.0,5.8,8.8,4.1,1.5,0.6,2.7,1.9,22.9,105,105
Luol Deng,1985-04-16,0,2013-14,28,TOT,NBA,SF,63,63,2213,8.7,20.3,.431,1.3,4.5,.302,7.4,15.8,.468,5.0,6.3,.791,2.3,6.2,8.5,4.3,1.5,0.2,2.7,2.6,23.8,106,107
Nando De Colo,1987-06-23,0,2013-14,26,TOT,NBA,SF,47,3,494,6.6,15.9,.418,1.9,5.5,.340,4.8,10.4,.460,3.2,3.6,.886,1.5,6.1,7.6,6.7,2.3,0.6,3.6,5.0,18.3,103,103
