Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jason Maxiell,1983-02-18,0,2011-12,28,DET,NBA,PF,65,42,1466,4.5,9.4,.478,0.0,0.0,.000,4.5,9.4,.480,1.4,2.6,.547,3.1,5.1,8.2,1.0,0.8,1.2,1.7,3.7,10.4
Jason Maxiell,1983-02-18,0,2012-13,29,DET,NBA,PF,72,71,1789,4.1,9.2,.446,0.0,0.0,,4.1,9.2,.446,1.8,2.9,.621,2.7,5.5,8.2,1.1,0.6,1.9,1.6,3.5,10.0
Garrison Mathews,1996-10-24,0,2020-21,24,WAS,NBA,SG,64,24,1038,3.4,8.2,.409,2.6,6.9,.384,0.7,1.4,.538,2.9,3.3,.884,0.6,2.5,3.0,0.9,1.0,0.2,0.3,3.7,12.3
Garrison Mathews,1996-10-24,1,2020-21,24,WAS,NBA,SG,3,0,17,0.0,8.5,.000,0.0,8.5,.000,0.0,0.0,,8.5,10.6,.800,0.0,4.2,4.2,0.0,0.0,0.0,0.0,8.5,8.5
Wesley Matthews,1986-10-14,0,2010-11,24,POR,NBA,SG,82,69,2758,5.7,12.8,.449,2.0,4.9,.407,3.7,7.8,.476,3.5,4.1,.844,0.6,2.7,3.4,2.1,1.3,0.1,1.8,2.5,17.0
Wesley Matthews,1986-10-14,0,2011-12,25,POR,NBA,SG,66,53,2228,5.1,12.3,.412,2.1,5.4,.383,3.0,6.9,.434,2.4,2.8,.860,0.9,2.7,3.6,1.8,1.6,0.2,1.2,2.4,14.6
O.J. Mayo,1987-11-05,0,2015-16,28,MIL,NBA,SG,41,24,1090,3.9,10.6,.371,1.7,5.4,.321,2.2,5.3,.421,1.0,1.3,.775,0.4,3.0,3.5,3.9,1.6,0.3,2.4,4.2,10.6
O.J. Mayo,1987-11-05,1,2010-11,23,MEM,NBA,SG,13,2,362,5.2,13.3,.388,2.0,4.9,.408,3.2,8.5,.376,2.3,2.9,.793,1.0,3.1,4.1,3.1,1.1,0.4,1.7,4.2,14.6
Eric Maynor,1987-06-11,0,2012-13,25,OKC,NBA,PG,37,0,391,3.3,10.6,.313,1.4,4.2,.326,1.9,6.4,.304,1.6,1.9,.810,0.5,1.2,1.7,6.7,0.9,0.0,2.9,1.7,9.6
Eric Maynor,1987-06-11,0,2012-13,25,POR,NBA,SG,27,0,572,4.4,10.4,.422,1.2,3.1,.380,3.2,7.3,.440,1.8,2.6,.683,0.3,1.5,1.8,6.9,0.8,0.1,3.0,2.3,11.8
Eric Maynor,1987-06-11,0,2013-14,26,TOT,NBA,PG,31,0,327,3.5,11.1,.317,1.3,4.1,.324,2.2,7.0,.313,0.7,1.2,.545,1.0,3.3,4.3,5.7,1.0,0.3,3.2,1.9,9.0
Luc Mbah a Moute,1986-09-09,0,2013-14,27,SAC,NBA,SF,9,5,196,2.8,5.9,.469,0.2,0.6,.333,2.6,5.3,.483,1.7,2.4,.692,1.7,3.3,5.0,2.8,1.7,0.9,0.7,3.3,7.3
Luc Mbah a Moute,1986-09-09,0,2013-14,27,MIN,NBA,PF,55,2,807,3.2,7.2,.447,0.1,0.6,.214,3.1,6.6,.469,1.7,2.4,.685,2.1,3.2,5.3,0.9,0.9,0.4,1.6,2.2,8.2
