Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Andrew Bogut,1984-11-28,1,2015-16,31,GSW,NBA,C,22,365,,,,,100%,+5.9,+1.7,4,6,29,8,0,5,77,0,6
Andrew Bogut,1984-11-28,1,2018-19,34,GSW,NBA,C,19,179,,,,,100%,-1.8,-6.3,4,1,15,4,3,3,44,1,1
Nenê,1982-09-13,0,2014-15,32,WAS,NBA,PF,67,1693,,,,85%,15%,+4.7,+6.5,45,32,76,23,101,16,269,26,39
Nenê,1982-09-13,0,2015-16,33,WAS,NBA,PF,57,1094,,,,11%,89%,+2.1,+3.5,32,23,71,16,87,8,214,16,22
Nenê,1982-09-13,0,2016-17,34,HOU,NBA,C,67,1198,,,,,100%,+7.7,+2.2,30,20,65,16,93,6,166,25,38
Stephen Curry,1988-03-14,0,2016-17,28,GSW,NBA,PG,79,2638,100%,,,,,+17.1,+17.2,163,43,87,11,137,11,1208,37,56
Stephen Curry,1988-03-14,0,2017-18,29,GSW,NBA,PG,51,1631,99%,1%,,,,+13.2,+12.1,97,27,51,9,98,5,710,16,21
Stephen Curry,1988-03-14,0,2018-19,30,GSW,NBA,PG,69,2331,98%,2%,,,,+13.2,+16.2,112,50,65,14,108,23,843,31,36
Seth Curry,1990-08-23,0,2019-20,29,DAL,NBA,SG,64,1576,,73%,27%,1%,,+3.8,-2.0,24,19,39,7,28,11,306,10,14
Seth Curry,1990-08-23,0,2020-21,30,PHI,NBA,SG,57,1638,18%,81%,1%,,,+8.0,+4.4,30,15,31,8,21,8,366,5,16
Seth Curry,1990-08-23,1,2018-19,28,POR,NBA,SG,16,326,5%,74%,21%,,,+4.1,+9.6,4,2,8,0,2,4,31,0,1
Bojan Bogdanović,1989-04-18,1,2020-21,31,UTA,NBA,SF,11,390,,2%,52%,46%,,+0.6,+4.2,10,11,7,1,11,1,43,1,5
Dante Cunningham,1987-04-22,0,2009-10,22,POR,NBA,PF,63,707,,,1%,98%,1%,+4.7,+0.9,0,7,49,5,23,5,33,6,8
Kirk Hinrich,1981-01-02,1,2011-12,31,ATL,NBA,SG,6,141,20%,80%,,,,-7.1,-4.1,1,1,5,0,2,0,13,2,2
Kirk Hinrich,1981-01-02,1,2012-13,32,CHI,NBA,PG,4,162,71%,29%,,,,+4.2,+16.1,3,1,1,2,3,0,48,0,5
Kirk Hinrich,1981-01-02,1,2013-14,33,CHI,NBA,PG,5,167,62%,38%,,,,-9.3,-12.7,4,5,9,2,2,1,49,0,3
Solomon Hill,1991-03-18,1,2017-18,26,NOP,NBA,SF,9,114,,,76%,24%,,-3.6,-4.4,4,1,9,1,5,1,16,0,3
Solomon Hill,1991-03-18,1,2019-20,28,MIA,NBA,PF,7,42,,4%,19%,75%,3%,+10.7,+9.3,0,0,4,0,0,2,8,0,0
Solomon Hill,1991-03-18,1,2020-21,29,ATL,NBA,PF,14,145,,,98%,2%,,-17.8,-20.0,0,1,4,0,2,2,6,0,0
Jordan Hill,1987-07-27,0,2015-16,28,IND,NBA,C,73,1513,,,,26%,74%,+1.6,-0.5,33,30,96,16,54,1,204,11,31
Jordan Hill,1987-07-27,0,2016-17,29,MIN,NBA,C,7,47,,,,23%,77%,+11.6,+12.8,1,3,8,0,1,0,0,0,1
Jordan Hill,1987-07-27,1,2011-12,24,LAL,NBA,C,12,217,,,,51%,49%,-6.7,-3.2,1,4,17,1,6,0,2,0,7
Jared Cunningham,1991-05-22,0,2014-15,23,LAC,NBA,SG,19,89,24%,73%,3%,,,+2.3,-5.1,4,2,6,1,5,2,25,1,2
Jared Cunningham,1991-05-22,0,2015-16,24,TOT,NBA,SG,44,410,29%,66%,6%,,,-3.4,-9.1,8,9,21,4,23,8,46,1,17
