Season,Tm,Age
2016-17,MIA,26.6
2016-17,MIL,26.0
2016-17,MIN,25.6875
2016-17,NOP,25.846153846153847
2016-17,NYK,26.625
2016-17,OKC,25.94736842105263
2016-17,ORL,25.473684210526315
2016-17,PHI,24.714285714285715
2016-17,PHO,25.666666666666668
2016-17,POR,24.333333333333332
2016-17,SAC,26.789473684210527
2016-17,SAS,28.75
2016-17,TOR,25.11764705882353
2016-17,TOT,26.39622641509434
2016-17,UTA,26.2
2016-17,WAS,25.666666666666668
2017-18,ATL,25.5
2017-18,BOS,25.4
2017-18,BRK,25.227272727272727
2017-18,CHI,24.61904761904762
2017-18,CHO,25.470588235294116
2017-18,CLE,29.0
2017-18,DAL,26.652173913043477
2017-18,DEN,25.833333333333332
2017-18,DET,26.318181818181817
2017-18,GSW,28.0
2017-18,HOU,28.0
2017-18,IND,25.842105263157894
2017-18,LAC,26.571428571428573
2017-18,LAL,25.5
2017-18,MEM,25.458333333333332
2017-18,MIA,26.42105263157895
2017-18,MIL,26.0
2017-18,MIN,27.0
2017-18,NOP,28.08695652173913
2017-18,NYK,25.857142857142858
2017-18,OKC,26.705882352941178
2017-18,ORL,25.263157894736842
2017-18,PHI,25.304347826086957
2017-18,PHO,24.363636363636363
2017-18,POR,24.125
2017-18,SAC,25.77777777777778
2017-18,SAS,28.058823529411764
2017-18,TOR,24.833333333333332
2017-18,TOT,26.677966101694917
2017-18,UTA,26.238095238095237
2017-18,WAS,27.133333333333333
2018-19,ATL,25.136363636363637
2018-19,BOS,25.58823529411765
2018-19,BRK,25.31578947368421
2018-19,CHI,23.772727272727273
2018-19,CHO,25.764705882352942
2018-19,CLE,26.22222222222222
2018-19,DAL,27.19047619047619
2018-19,DEN,24.944444444444443
2018-19,DET,26.45
2018-19,GSW,27.41176470588235
2018-19,HOU,27.391304347826086
2018-19,IND,25.529411764705884
2018-19,LAC,27.136363636363637
2018-19,LAL,25.954545454545453
2018-19,MEM,26.892857142857142
2018-19,MIA,27.333333333333332
2018-19,MIL,26.541666666666668
2018-19,MIN,26.904761904761905
2018-19,NOP,25.85
2018-19,NYK,24.73913043478261
2018-19,OKC,25.11111111111111
2018-19,ORL,24.941176470588236
2018-19,PHI,25.846153846153847
2018-19,PHO,25.458333333333332
2018-19,POR,24.555555555555557
2018-19,SAC,24.8
2018-19,SAS,27.6875
2018-19,TOR,27.09090909090909
2018-19,TOT,26.825581395348838
2018-19,UTA,26.833333333333332
2018-19,WAS,26.6
2019-20,ATL,25.761904761904763
2019-20,BOS,24.58823529411765
2019-20,BRK,26.166666666666668
2019-20,CHI,24.176470588235293
2019-20,CHO,24.9375
2019-20,CLE,24.61904761904762
2019-20,DAL,26.894736842105264
2019-20,DEN,24.761904761904763
2019-20,DET,25.454545454545453
2019-20,GSW,24.59090909090909
2019-20,HOU,28.761904761904763
2019-20,IND,24.88235294117647
2019-20,LAC,26.7
2019-20,LAL,28.1
2019-20,MEM,24.952380952380953
2019-20,MIA,26.61904761904762
2019-20,MIL,28.529411764705884
2019-20,MIN,24.541666666666668
2019-20,NOP,24.88235294117647
2019-20,NYK,24.941176470588236
2019-20,OKC,24.555555555555557
2019-20,ORL,26.0
2019-20,PHI,25.894736842105264
2019-20,PHO,24.157894736842106
2019-20,POR,25.526315789473685
2019-20,SAC,26.17391304347826
2019-20,SAS,26.333333333333332
2019-20,TOR,25.444444444444443
2019-20,TOT,26.566666666666666
2019-20,UTA,25.9
2019-20,WAS,25.26086956521739
2020-21,ATL,25.666666666666668
2020-21,BOS,25.0
2020-21,BRK,27.0
2020-21,CHI,25.5
2020-21,CHO,24.294117647058822
2020-21,CLE,25.52
2020-21,DAL,26.57894736842105
2020-21,DEN,25.5
2020-21,DET,24.714285714285715
2020-21,GSW,25.5
2020-21,HOU,25.966666666666665
2020-21,IND,25.3
2020-21,LAC,27.6
2020-21,LAL,28.0
2020-21,MEM,24.27777777777778
2020-21,MIA,28.142857142857142
2020-21,MIL,27.136363636363637
2020-21,MIN,23.4375
2020-21,NOP,25.571428571428573
2020-21,NYK,25.210526315789473
2020-21,OKC,23.863636363636363
2020-21,ORL,24.892857142857142
2020-21,PHI,26.043478260869566
2020-21,PHO,26.294117647058822
2020-21,POR,25.647058823529413
2020-21,SAC,24.958333333333332
2020-21,SAS,25.833333333333332
2020-21,TOR,25.90909090909091
2020-21,TOT,27.0
2020-21,UTA,26.72222222222222
2020-21,WAS,25.238095238095237
